Dealer Name,website,street,city,state,zip,phone
Money Ford  Inc.,http://www.moneyford.com,408 Dothan Road,Abbeville,AL,36310,(334) 585-2201
Gilland Ford,http://www.gillandford.com,3118 South US Highway 231,Ozark,AL,36360,(334) 443-1000
Bondy's Ford Lincoln,http://www.bondysford.net,3615 Ross Clark Circle,Dothan,AL,36303,(334) 792-5171
Ernest McCarty Ford  Inc.,http://www.mccartyford.com,1471 First Street North,Alabaster,AL,35007,(205) 663-3831
Long-Lewis Ford Lincoln,http://www.long-lewisford.com,2551 John Hawkins Parkway,Hoover,AL,35244,(205) 989-3673
Town & Country Ford,http://www.townandcountryfordbessemer.com,5041 Ford Parkway,Bessemer,AL,35022,(205) 491-0000
Adamson Ford,http://www.fordofbirmingham.com,1922 2nd Avenue South,Birmingham,AL,35233,(205) 271-4700
Iron City Ford,http://www.ironcityford.net,9924 Parkway East,Birmingham,AL,35215,(205) 854-2222
Baugh Ford  LLC,http://www.baughford.net,1670 7th Street North,Clanton,AL,35045,(205) 280-4100
Gilbert & Baugh Ford  Inc.,http://www.gilbertbaughford.com,10195 Highway 431 North,Albertville,AL,35950,(256) 891-3000
Alexander Ford  Inc.,http://www.alexanderfordboaz.com,Hwy 431 S PO 398,Boaz,AL,35957,(256) 593-4204
Jerry Damson Ford,http://www.jerrydamsonford.com,810 North Brindlee Mountain Parkway,Arab,AL,35016,(256) 586-6041
Ronnie Watkins Ford  Inc.,http://www.ronniewatkinsford.net,101 George Wallace Drive,Gadsden,AL,35903,(256) 543-9400
Valley Ford,http://www.valleyford.org,28339 Highway 75 South,Oneonta,AL,35121,(205) 625-3122
AutoNation Ford Fort Payne,http://www.autonationfordoffortpayne.com,1916 Glenn Boulevard SW,Fort Payne,AL,35968,(256) 845-1101
Harbin Motor Company  Inc.,http://www.harbinfordscottsboro.net,564 Micah Way,Scottsboro,AL,35769,(256) 574-1819
Tallapoosa Ford,http://www.tallapoosaford.com,1551 Highway 280,Alexander City,AL,35010,(256) 234-3432
Tallassee Ford,http://www.tallasseeford.com,1618 Gilmer Ave.,Tallassee,AL,36078,(334) 283-6815
Andalusia Ford  L.L.C.,http://www.andalusiaford.net,301 MLK  Jr Expressway,Andalusia,AL,36420,(334) 222-1103
Jim Cook Ford,http://www.jimcookfordinc.com,620 North Troy Road,Elba,AL,36323,(334) 897-3130
Sunny King Ford,http://www.sunnykingford.net,1507 S Quintard Ave,Anniston,AL,36201,(256) 831-5300
Buster Miles Ford,http://www.bustermiles-ford.com,1880 Almon Street just off of I-20 exit 199,Heflin,AL,36264,(256) 403-0701
Tony Serra Ford  Inc.,http://www.tonyserrafordtalladega.com,723 East Battle Street,Talladega,AL,35160,(256) 362-6900
Town & Country Ford Pell City  LLC,http://www.pellcityford.com,1101 Martin Street North,Pell City,AL,35125,(205) 338-9463
Eckenrod Ford Lincoln of Cullman  Inc.,http://www.eckenrodford.com,5255 Alabama Highway 157,Cullman,AL,35058,(800) 944-1389
Eddie Preuitt Ford  Inc.,http://www.eddiepreuitt.com,710 Highway 31 North,Hartselle,AL,35640,(256) 773-2578
McClary Ford,http://www.mcclaryforddirect.net,1104 Highway 72 East,Athens,AL,35611,(256) 232-4242
Lynn Layton Ford  Inc.,http://www.lynnlaytonford.com,3300 6th Avenue SE,Decatur,AL,35603,(256) 350-2120
Woody Anderson Ford Huntsville,http://www.woodyandersonsales.com,2500 Jordan Lane,Huntsville,AL,35816,(800) 457-1384
John Carpenter Ford  Inc.,http://www.johncarpenterford.net,14591 Court Street,Moulton,AL,35650,(256) 974-1186
Johnson Ford  Inc.,http://www.jjohnsonford.com,1828 South Main Street,Atmore,AL,36502,(251) 368-2135
Chuck Stevens Automotive  Inc.,http://www.chuckstevensford.net,1304 Highway 31 South,Bay Minette,AL,36507,(800) 476-9754
Jim Peach Motors Inc,http://www.jimpeachmotors.net,518 South Blvd.,Brewton,AL,36426,(251) 867-6212
AutoNation Ford-Lincoln Auburn,http://www.autonationfordofauburn.com,2305 South College,Auburn,AL,36832,(334) 887-8571
Opelika Ford,http://www.opelika-ford.com,801 Columbus Parkway,Opelika,AL,36801,(334) 749-8113
