Dealer Name,website,street,city,state,zip,phone
Robert Horne Ford  LLC,http://www.roberthorneford.com,3400 S. Tomahawk Road,Apache Junction,AZ,85119,(877) 551-0086
San Tan Ford,http://www.santanford.net,1429 East Motorplex Loop,Gilbert,AZ,85297,(480) 821-3200
Berge Ford,http://www.bergeford.com,460 East Auto Center Drive,Mesa,AZ,85204,(480) 497-7550
Chapman Ford,http://www.yourscottsdaleforddealer.com,7100 E. McDowell,Scottsdale,AZ,85257,(480) 946-3900
AutoNation Ford Scottsdale,http://www.autonationford-scottsdale.com,8555  Frank Lloyd Wright Blvd,Scottsdale,AZ,85260,(480) 991-3333
Earnhardt Ford,http://www.earnhardtfordchandler.com,7300 West Orchid Lane,Chandler,AZ,85226,(480) 893-0000
Jones Ford Buckeye,http://www.jonesfordofbuckeye.com,24600 West Yuma Road,Buckeye,AZ,85326,(623) 386-4429
Rodeo Ford  Inc.,http://www.rodeofordinc.com,13680 W. Test Drive,Goodyear,AZ,85338,(623) 298-3900
Surprise Ford,http://www.surprisefordsales.com,16825 W. Waddell Road,Surprise,AZ,85388,(623) 344-4700
Don Sanderson Ford,http://www.sanderson-ford.com,6400 N. 51st Ave.,Glendale,AZ,85301,(623) 842-8600
Peoria Ford,http://www.peoriafordofpeoria.com,9130 W. Bell Rd.,Peoria,AZ,85382,(623) 977-8888
Jones Ford Casa Grande,http://www.glennjonesford.com,1932 North Pinal Avenue,Casa Grande,AZ,85122,(520) 836-3100
Camelback Ford Lincoln,http://www.camelbackfordlincoln.com,1330 E. Camelback Road,Phoenix,AZ,85014,(602) 264-1851
Bell Ford,http://www.bellford.net,2401 West Bell Road,Phoenix,AZ,85023,(602) 866-1776
Jones Ford Verde Valley,http://www.jonesfordofverdevalley.com,5980 East Coury Drive,Camp Verde,AZ,86322,(928) 634-3673
Galpin Ford  Inc.,http://www.galpinonline.com,1000 Sandretto Drive,Prescott,AZ,86305,(800) 821-1093
Babbitt Ford,http://www.babbittford.com,11 North Verde,Flagstaff,AZ,86001,(928) 774-5063
McSpadden Ford Inc.,http://www.mcspaddenfordlincoln.com,910 N. Broad Street,Globe,AZ,85501,(800) 278-1897
Jim Click Ford of Sahuarita & Green Valley,http://www.jimclickfordgreenvalley.com,1030 Duval Road,Green Valley,AZ,85614,(520) 625-8262
Jim Click Ford Lincoln,http://www.jimclickford.net,6244 E 22nd Street,Tucson,AZ,85711,(866) 787-4416
Tate's Auto Center,http://www.tatefordlincoln.com,1001 Navajo Blvd,Holbrook,AZ,86025,(928) 524-6268
Anderson Ford Lincoln,http://www.andersonfordkingman.com,3601 Stockton Hill Road,Kingman,AZ,86409,(928) 757-3131
Bradley Ford Lincoln,http://www.bradleyfordlakehavasucity.com,1690 Industrial Blvd.,Lake Havasu City,AZ,86403,(928) 855-1191
Parker Motor,http://www.parkermotor.net,920 Arizona Ave,Parker,AZ,85344,(928) 669-2291
Horne Ford of Nogales  LLC,http://www.horneford.net,1777 N Grand Avenue,Nogales,AZ,85621,(520) 281-1976
Oracle Ford  Inc.,http://www.oracleford.net,3950 W. Hwy. 77,Oracle,AZ,85623,(520) 818-3673
Holmes Tuttle Ford Lincoln,http://www.fordtucson.com,660 W Auto Mall Drive,Tucson,AZ,85705,(866) 930-6255
Lake Powell Ford,http://www.lakepowellford.com,619 S. Lake Powell Blvd.,Page,AZ,86040,(800) 645-7881
Show Low Ford  Inc.,http://www.showlowford.net,1920 E. Deuce of Clubs Ave.,Show Low,AZ,85901,(888) 686-7070
Lawley's Team Ford,http://www.lawleyteamford.com,100 N. Highway 90,Sierra Vista,AZ,85635,(888) 874-9117
Freedom Ford Lincoln,http://www.freedomford.us,2161 W Highway 70,Thatcher,AZ,85552,(928) 428-1770
Jones Ford Wickenburg,http://www.jonesfordwickenburg.net,555 E. Wickenburg Way Suite A,Wickenburg,AZ,85390,(844) 524-1981
Winslow Ford,http://www.winslowfordonline.com,840 Mikes Pike,Winslow,AZ,86047,(800) 331-6698
Bill Alexander Ford L-M Inc,http://www.billalexanderford.net,801 E 32nd Street,Yuma,AZ,85365,(928) 344-2200
