Dealer Name,website,street,city,state,zip,phone
Albany Ford,http://www.albanyford.com,718 San Pablo Avenue,Albany,CA,94706,(510) 528-1244
Michael Stead's Hilltop Ford,http://www.hilltopfordsales.com,3280 Auto Plaza,Richmond,CA,94806,(510) 222-4444
Walnut Creek Ford,http://www.walnutcreekford.net,1800 North Main Street,Walnut Creek,CA,94596,(925) 932-2900
The Ford Store San Leandro,http://www.fordsanleandro.com,1111 Marina Blvd.,San Leandro,CA,94577,(510) 352-2000
Future Ford Lincoln of Concord,http://www.futurefordofconcord.net,2285 Diamond Blvd.,Concord,CA,94520,(888) 415-4242
Serramonte Ford,http://www.serraford.com,999 Serramonte Blvd.,Colma,CA,94014,(650) 755-7007
Marin County Ford,http://www.marincountyford.net,6995 Redwood Blvd.,Novato,CA,94945,(888) 556-8775
Veracom Ford,http://www.veracomford.net,790 N. San Mateo Dr.,San Mateo,CA,94401,(650) 340-7199
All Star Ford,http://www.allstarfordofpittsburg.com,3800 Century Way,Pittsburg,CA,94565,(925) 432-9717
Ford Lincoln Fairfield,http://www.fordfairfieldsales.com,3050 Auto Mall Court,Fairfield,CA,94534,(707) 421-3300
Napa Ford-Lincoln,http://www.napavalleyford.net,570 Soscol Avenue,Napa,CA,94559,(707) 255-2580
Towne Ford Sales & Leasing,http://www.townford.net,1601 El Camino Real,Redwood City,CA,94063,(650) 366-5744
Livermore Ford Lincoln,http://www.livermoreford.net,2266 Kittyhawk Rd.,Livermore,CA,94551,(925) 294-7700
Bob Wondries Ford,http://www.bwondriesford.com,400 S Atlantic Blvd,Alhambra,CA,91801,(866) 668-6483
Ford of Montebello,http://www.fordofmontebello.com,2747 Via Campo,Montebello,CA,90640,(323) 838-6920
Rush Truck Center  Whittier,http://www.rushtruckwhittier.com,2450 Kella Ave.,Whittier,CA,90601,(562) 692-7267
Star Ford Lincoln,http://www.starford.com,1101 S Brand Blvd,Glendale,CA,91204,(818) 956-0977
Advantage Ford Lincoln,http://www.advantagefordofduarte.com,1031 North Central Avenue,Duarte,CA,91010,(877) 386-3673
Central Ford,http://www.centralfordla.net,5645 Firestone Blvd.,South Gate,CA,90280,(562) 927-7888
Ed Butts Ford,http://www.edbutts.com,1515 N. Hacienda Blvd.,La Puente,CA,91744,(800) 608-6371
Ford of West Covina,http://www.fordofwestcovina.com,2000 East Garvey Avenue South,West Covina,CA,91791,(800) 599-1581
