Dealer Name,website,street,city,state,zip,phone
Gabrielli Truck Sales of Milford,http://www.gabriellitrucksalesofmilford.com,401 Old Gate Lane,Milford,CT,06460,(203) 877-3281
Bob Thomas Ford Inc.,http://www.birdlandford.com,2215 Dixwell Ave,Hamden,CT,06514,(203) 281-7500
Stevens Ford Lincoln,http://www.stevensfordmilford.com,717 Bridgeport Ave,Milford,CT,06460,(203) 783-5900
Park City Ford  Inc.,http://www.parkcityfordinc.com,60 North Avenue,Bridgeport,CT,06606,(203) 366-3425
Dowling Ford  Inc.,http://www.dowlingford.net,1011 S Main Street,Cheshire,CT,06410,(203) 272-2772
Ford of Branford,http://www.zeeauto.net,301 East Main Street,Branford,CT,06405,(203) 488-8321
Shaker's Family Ford Lincoln,http://www.familyford.net,831 Straits Turnpike,Watertown,CT,06795,(877) 809-4144
Colonial Ford,http://www.colonialforddanbury.com,126 Federal Road,Danbury,CT,06811,(203) 748-3503
McMahon Ford,http://www.mcmahonfordnorwalk.com,1 Main Street,Norwalk,CT,06851,(203) 838-4801
Hammonasset Ford  Inc.,http://www.hammonasset-ford.com,191 Boston Post Rd,Madison,CT,06443,(203) 245-8828
Crowley Ford Lincoln,http://www.crowleyford.net,225 New Britain Ave.,Plainville,CT,06062,(860) 793-8885
Tasca Ford,http://www.tascafordberlin.com,250 Webster Square Road,Berlin,CT,06037,(860) 828-3546
Litchfield Ford,http://www.litchfieldford.com,439 Bantam Rd. Rt 202,Litchfield,CT,06759,(860) 567-4561
Lombard Ford  Inc.,http://www.lombardford.com,385 New Hartford Rd,Barkhamsted,CT,06063,(877) 379-6604
Torrington Ford-Lincoln  Inc.,http://www.torringtonfordct.com,1355 East Main Street,Torrington,CT,06790,(860) 489-4133
Mitchell Selig Ford,http://www.mitchellseligford.com,801 Bloomfield Ave,Windsor,CT,06095,(860) 688-3651
Hoffman Ford Lincoln  Inc.,http://www.hoffmanfordcenter.com,600 Connecticut Boulevard,East Hartford,CT,06108,(860) 289-7721
Family Ford of Enfield,http://www.familyfordinc.net,65 Hazard Avenue,Enfield,CT,06082,(860) 745-1111
Monaco & Sons Mtr Sales Inc,http://www.monacoford.net,767 New London Turnpike,Glastonbury,CT,06033,(860) 652-3000
Ray Seraphin Ford Inc,http://www.rayseraphinfordinc.com,100 Windsor Avenue,Rockville,CT,06066,(860) 875-3369
Columbia Ford  Inc.,http://www.columbiafordinc.com,234 Route 6,Columbia,CT,06237,(800) 557-8112
Saybrook Ford,http://www.saybrookford.net,One Ford Drive,Old Saybrook,CT,06475,(860) 388-1293
Stamford Ford Lincoln,http://www.fordstamford.com,212 Magee Avenue,Stamford,CT,06902,(203) 357-0357
Courtesy Ford,http://www.courtesyfordofbrooklyn.com,455 Providence Road,Brooklyn,CT,06234,(860) 774-3673
Putnam Ford  Inc.,http://www.putnam-ford.com,3 Park Road,Putnam,CT,06260,(860) 928-2731
Central Ford,http://www.centralfordplainfieldct.com,98 Lathrop Road,Plainfield,CT,06374,(860) 564-4014
Bowen's Garage  Inc.,http://www.bowensgarage.com,184 Eastford Road  Rt 198,Eastford,CT,06242,(860) 974-0363
Girard Ford,http://www.girardfordautosales.com,450 West Thames Street,Norwich,CT,06360,(860) 889-2601
Valenti Ford,http://www.valentiford.com,72 Jerry Browne Road,Mystic,CT,06355,(800) 699-2571
Crest Ford,http://www.crestfordofniantic.com,218 Flanders Road,Niantic,CT,06357,(860) 739-5403
Whaling City Ford Lincoln,http://www.wcityford.com,475 Broad Street,New London,CT,06320,(844) 363-4081
