Dealer Name,website,street,city,state,zip,phone
Henry Arnold Ford Co.  Inc.,http://www.henryarnoldfordcompanyinc.com,5323 Brown Street,Graceville,FL,32440,(850) 263-3271
World Ford - Pensacola,http://www.eworldfordpcola.com,6397 Pensacola Blvd,Pensacola,FL,32505,(888) 864-6732
Santa Fe Ford,http://www.santa-fe-ford.net,16330 US Highway 441 North,Alachua,FL,32615,(800) 556-1022
Parks Ford Lincoln of Gainesville,http://www.gainesvilleford.net,3333 North Main Street,Gainesville,FL,32609,(352) 372-4251
Murray Ford of Starke  Inc.,http://www.murrayfordstarke.com,13447 U.S. Highway 301 South,Starke,FL,32091,(904) 964-7200
Rountree-Moore Ford Lincoln,http://www.rountreemooreford.net,2588 West US Highway 90,Lake City,FL,32055,(386) 755-0630
Mullinax Ford,http://www.mullinaxfordapopka.com,1551 East Semoran Blvd,Apopka,FL,32703,(888) 218-7505
Sun State Ford Inc.,http://www.sunstatefordorlando.com,3535 W. Colonial Drive,Orlando,FL,32808,(407) 299-5900
Rush Truck Center  Orlando,http://www.orlandotruck.com,2350 Diversified Way,Orlando,FL,32804,(407) 298-1000
Peacock Ford,http://www.peacock-ford.com,1875 South Orlando Avenue,Maitland,FL,32751,(407) 644-7111
AutoNation Ford Sanford,http://www.autonationford-sanford.com,4911 Wayside Drive,Sanford,FL,32771,(407) 328-6000
Prestige Ford Inc.,http://www.prestigefordmtdora.com,17701 Highway 441,Mount Dora,FL,32757,(352) 357-5522
Ford of Clermont  Inc.,http://www.myfordofclermont.net,1101 East Highway 50,Clermont,FL,34711,(352) 394-6161
Greenway Ford Inc,http://www.greenwayfordoforlando.com,9001 East Colonial Drive,Orlando,FL,32817,(407) 275-3200
Tropical Ford Inc,http://www.tropicford.com,9900 South Orange Blossom Trail,Orlando,FL,32837,407-851-3800
Coggin Deland Ford Lincoln,http://www.delandfordinc.com,2655 N. Volusia Avenue,Orange City,FL,32763,(855) 845-7063
