Dealer Name,website,street,city,state,zip,phone
Hattaway Ford,http://www.hattawaymotor.com,1503 South Main Street,Blakely,GA,39823,(229) 723-3501
Rick Zoerb Ford,http://www.rickzoerbford.net,2076 Rockmart Highway,Cedartown,GA,30125,(770) 748-3673
Courtesy Ford Lincoln of Rome  Inc.,http://www.romefordlinc.com,101 Highway 411 East,Rome,GA,30161,(888) 258-1265
Pioneer Ford,http://www.pioneerfordofbremen.com,150 Highway 27 North Bypass,Bremen,GA,30110,(770) 537-2373
Rivertown Ford,http://www.rivertownford.net,1680 Whittlesey Road,Columbus,GA,31904,(706) 653-7420
Mike Patton Ford Lincoln,http://www.mikepattonford.com,1402 LaFayette Parkway,La Grange,GA,30241,(706) 882-0600
River Bend Ford  Inc.,http://www.riverbend-ford.com,1709 E. Shotwell Street,Bainbridge,GA,39819,(229) 246-0860
Langdale Ford,http://www.buyfromlangdale.com,215 West Magnolia,Valdosta,GA,31601,(229) 333-2300
Murray Ford of Kingsland  Inc.,http://www.murrayfordkingsland.com,2030 Highway 40 East,Kingsland,GA,31548,(912) 510-3673
Prater Ford  Inc.,http://www.praterfordcalhoun.com,704 S. Wall St.,Calhoun,GA,30701,(706) 629-2883
Pugmire Ford of Cartersville,http://www.pugmirefordcartersville.com,352 N. Tennessee St.,Cartersville,GA,30120,(770) 382-5780
Shottenkirk Ford,http://www.shottenkirkfordjasper.net,868 Highway 515 South,Jasper,GA,30143,(706) 692-6467
Chatsworth Ford,http://www.chatsworthford.com,2790 Highway 76,Chatsworth,GA,30705,(706) 695-6701
Krause Family Ford of Woodstock,http://www.krausefamilyford.net,195 Woodstock Parkway,Woodstock,GA,30188,(770) 592-0090
Brooker Ford Inc.,http://www.brookerford.com,925 Shugart Road,Dalton,GA,30720,(706) 278-1151
Cook County Ford Inc,http://www.cookfordblp.com,1000 S Hutchinson Ave.,Adel,GA,31620,(229) 896-7411
Mike Burch Ford,http://www.mikeburchford.net,723 South Davis Street,Nashville,GA,31639,(229) 686-2058
Robert Hutson Ford Lincoln  Inc.,http://www.roberthutsonford.com,2316 First Avenue S.E.,Moultrie,GA,31788,(229) 985-6603
Griffin Ford-Lincoln  Inc.,http://www.griffinford.net,511 W Seventh Street,Tifton,GA,31794,(229) 382-1300
Trans Power  Inc.,http://www.transpowertrucks.com,2702 Palmyra Road,Albany,GA,31707,(229) 883-6550
Sunbelt Ford-Lincoln of Albany  Inc.,http://www.fordtownalbany.com,2926 North Slappey Boulevard,Albany,GA,31701,(229) 883-3100
Sunbelt Ford  Inc.,http://www.sunbeltsylvester.com,1002 West Franklin Street,Sylvester,GA,31791,(229) 776-7691
Woody Folsom Ford  Inc.,http://www.woodyfolsomford.net,1633 Golden Isles West,Baxley,GA,31513,(912) 367-2466
Mike Burch Ford Blackshear,http://www.mikeburchfordofblackshear.com,304 Ware Street,Blackshear,GA,31516,(912) 449-4446
