Dealer Name,website,street,city,state,zip,phone
Edwards County Motors,http://www.edwardscountymotors.com,51 East Main Street,Albion,IL,62806,(618) 445-4922
J. Wilderman Autoplex,http://www.wildermanford.com,1422 West Ninth Street,Mt Carmel,IL,62863,(888) 237-8987
White County Ford & Lincoln,http://www.whitecountyfordil.com,1337 IL Hwy. 1,Carmi,IL,62821,(618) 382-4611
Roberts Motors  Inc.,http://www.robertsmotors.com,4350 Alby,Alton,IL,62002,(618) 466-7220
Weber Granite City Ford,http://www.weberford.com,3465 Progress Parkway,Granite City,IL,62040,(618) 452-5400
Jerseyville Motor Company  Inc.,http://www.jvillemoco.com,1205 S State St,Jerseyville,IL,62052,(618) 498-2139
Jack Schmitt Ford Lincoln,http://www.jackschmittford.net,1820 Vandalia,Collinsville,IL,62234,(618) 344-5105
Auffenberg Ford North,http://www.auffenbergfordnorth.com,115 Regency Park,O'Fallon,IL,62269,(618) 632-0090
Drew Ford Inc,http://www.drewfordinc.com,114 West Spruce,Gillespie,IL,62033,(217) 839-2145
Auffenberg Ford Inc,http://www.auffenbergbelleville.com,901 S  Illinois St,Belleville,IL,62220,(618) 622-4634
Tri Ford  Inc.,http://www.trifordhighland.com,12610 State Route 143,Highland,IL,62249,(618) 654-2122
Evans Ford  Inc.,http://www.evansfordinc.com,Rr #3  Box 33,Carrollton,IL,62016,(217) 942-3636
Coad Ford,http://www.coadford.net,2523 East Vienna Street,Anna,IL,62906,(618) 833-2166
Vogler Motor Company,http://www.vogler-ford.com,1170 E Main,Carbondale,IL,62901,(618) 457-8135
Bob Harper Ford  Inc.,http://www.bobharperford.com,323 East Vine Street,Vienna,IL,62995,(618) 658-9218
Watermark Ford Lincoln of Marion,http://www.marionfordinc.com,1910 West Coolidge Avenue,Marion,IL,62959,(800) 225-2161
Kunes Country Ford of Antioch  Inc.,http://www.kunescountryfordantioch.com,104 Route 173,Antioch,IL,60002,(847) 395-3900
Gillespie Ford,http://www.gillespiefordofgurnee.com,18834 West Grand Avenue,Gurnee,IL,60031,(847) 244-9500
Buss Ford Lincoln,http://www.bussfordsales.net,111 South Route 31,Mchenry,IL,60050,(815) 385-2000
Victor Ford,http://www.victorfordinc.com,1451 N Old Rand Rd.,Wauconda,IL,60084,(847) 526-5541
