Dealer Name,website,street,city,state,zip,phone
Webb Ford  Inc.,http://www.webbford.net,9809 Indianapolis,Highland,IN,46322,(219) 924-3400
Art Hill Ford Lincoln,http://www.arthillford.com,901 West Lincoln Hwy,Merrillville,IN,46410,(219) 738-5300
Paul Heuring Motors Inc,http://www.paulheuring.com,720 N Hobart Rd,Hobart,IN,46342,(219) 942-3673
Smith Ford Of Lowell Inc,http://www.smithfordoflowell.com,1777 East Commercial Ave,Lowell,IN,46356,(866) 893-2915
Lake Shore Ford,http://www.lakeshoreford.net,244 Melton Road,Chesterton,IN,46304,(219) 787-8600
Currie Motors Ford of Valpo,http://www.fordofvalpo.com,2052 Morthland Drive,Valparaiso,IN,46385,(219) 464-3523
Expressway Ford,http://www.expresswayfordmountvernon.com,3800 East Highway 62,Mount Vernon,IN,47620,(812) 838-4366
Warrick Motor Co.,http://www.warrickmotorco.com,141 S. Stringtown Rd.,Covington,IN,47932,(765) 793-2233
Mace Ford,http://www.maceford.com,4501 South U.S. #41,Terre Haute,IN,47802,(812) 234-1502
Clinton Ford  Inc.,http://www.clintonfordinc.com,335 South Third Street,Clinton,IN,47842,(765) 832-3564
Fieldhouse Ford Sales  Inc.,http://www.fieldhouseford.com,1400 S Halleck St (us 231),Demotte,IN,46310,(219) 987-2500
Bob Bowen Ford  Inc.,http://www.bobbowenfordinc.com,2189 West U.S. 40,Brazil,IN,47834,(812) 442-2000
Ford Autoworld  Inc.,http://www.fordautoworld.net,2903 S. Scatterfield Rd.,Anderson,IN,46013,(765) 649-3673
McCrocklin Ford,http://www.mccrocklinford.net,683 North Eighth,Middletown,IN,47356,(765) 354-2261
Dellen Ford,http://www.dellenford.net,2001 E. McGalliard,Muncie,IN,47303,(765) 289-0431
Don Hinds Ford Inc,http://www.forddonhinds.com,12610 Ford Drive,Fishers,IN,46038,(317) 849-9000
Tipton Ford  Inc.,http://www.tiptonfordin.net,965 East Jefferson,Tipton,IN,46072,(765) 675-8777
Inskeep Ford,http://www.inskeepford.net,2651 West Main Street,Greenfield,IN,46140,(317) 462-1470
Tom Wood Ford,http://www.indyforddirect.com,3130 East 96th Street,Indianapolis,IN,46240,(317) 846-4241
Capitol City Ford Inc,http://www.capitolcityford.net,8623 East Washington Street,Indianapolis,IN,46219,(317) 898-0700
Fincannon Ford  Inc.,http://www.fincannon.com,1510 N Walnut Street (state Road 3),Hartford City,IN,47348,(765) 348-5100
Yoder Fuller Ford,http://www.yoderfullerford.com,830 E. Maumee St.,Angola,IN,46703,(260) 665-9526
Ben Davis Ford  Inc.,http://www.bendavisford.com,400 South Grandstaff Drive,Auburn,IN,46706,(260) 925-3100
Max Platt Ford-Lincoln  Inc.,http://www.maxplattford.com,1002 West North St.,Kendallville,IN,46755,(260) 347-3153
Yoder Ford  Inc.,http://www.billyoderford.com,201 E. Quincy,Garrett,IN,46738,(260) 357-5121
Bob Thomas Ford Lincoln,http://www.bobthomasfordnorth.net,310 W. Coliseum Blvd,Fort Wayne,IN,46805,(260) 482-4456
O'Daniel Ford Inc.,http://www.odanford.com,631 Lincoln Highway West,New Haven,IN,46774,(855) 395-4929
Bob Thomas Ford,http://www.bobthomasfordwest.net,5321 Illinois Road,Fort Wayne,IN,46804,(260) 436-3673
City Ford,http://www.fordofcolumbiacity.com,3100 East Business Highway 30,Columbia City,IN,46725,(260) 244-5171
Burnworth-Zollars Ford,http://www.burnworthzollarsford.com,309 U.S. 6 West,Ligonier,IN,46767,(260) 894-7176
Bedford Ford Lincoln Inc.,http://www.bedfordfordinc.net,10050 State Rd. 37 South,Bedford,IN,47421,(812) 279-8121
Bloomington Ford  Inc.,http://www.bloomingtonfordinc.com,2200 S Walnut St,Bloomington,IN,47401,(812) 331-2200
Eddie Gilstrap Motors  Inc.,http://www.eddiegilstrapmotorsinc.com,207 South Main Street,Salem,IN,47167,(812) 883-3481
