Dealer Name,website,street,city,state,zip,phone
Jim Baier  Inc.,http://www.jimbaierinc.com,Hwy 61 West,Fort Madison,IA,52627,(319) 372-1012
Shottenkirk Ford of Burlington,http://www.shottenkirkfordwb.com,309 South Gear Avenue,West Burlington,IA,52655,(319) 758-5900
Lindquist Ford  Inc.,http://www.lindquistfordinc.com,3950 Middle Road,Bettendorf,IA,52722,(563) 449-9001
Dahl Ford Davenport Inc,http://www.dahlforddavenport.com,1310 E Kimberly Rd,Davenport,IA,52807,(563) 391-2600
Courtesy Ford Trucks,http://www.courtesyfordtrucks.net,3921 West River Drive,Davenport,IA,52802,(563) 326-4011
Clinton Ford Lincoln,http://www.clintonfordlm.net,2850 Valley West Drive,Clinton,IA,52732,(563) 242-7011
Ron Alpen Ford Inc,http://www.ronalpenford.net,303 5th St.,Durant,IA,52747,(563) 785-4466
Krieger Ford Lincoln,http://www.kriegersford.com,3205 N HWY 61,Muscatine,IA,52761,(563) 263-5324
Sailer Ford Inc,http://www.sailerfordinc.net,404 Sherman Avenue,Ackley,IA,50601,(641) 847-2135
Dale Howard  Inc.,http://www.dalehowardford.com,600 Brooks Road,Iowa Falls,IA,50126,(641) 648-4691
Union Auto  Inc.,http://www.unionautoford.com,201 Center St.,Union,IA,50258,(641) 486-2358
Roling Ford,http://www.rolingfordshellrock.com,1105 Mason Way,Shell Rock,IA,50670,(319) 885-4540
Jensen's LeMars Ford,http://www.lemars-ford.com,1258 Lincoln Street Sw,Le Mars,IA,51031,(866) 799-0811
Sioux City Ford,http://www.siouxcityfordiowa.com,3601 Singing Hills Blvd.,Sioux City,IA,51106,(712) 277-8420
Mouw Motor Company Inc,http://www.mouwmotor.com,1245 North Main Ave,Sioux Center,IA,51250,(712) 722-0085
Albia Motor Company Inc,http://www.albiamotorco.com,114 North Clinton Street,Albia,IA,52531,(641) 932-5416
Kraig Ford,http://www.kraigford.com,1201 South 17th Street,Oskaloosa,IA,52577,(641) 673-8373
Clemons Ford Lincoln,http://www.clemonsford.com,2839 N. Court,Ottumwa,IA,52501,(641) 682-3422
Ulrich Motor Company,http://www.ulrichmotorcompany.com,1130 West 16th Street,Pella,IA,50219,(641) 628-2184
Motor Inn of Algona  Inc.,http://www.motorinnautogroup.net,1107 North Main Street,Algona,IA,50511,(515) 295-2497
West Bend Ford,http://www.westbendford.com,17 Second Street SE,West Bend,IA,50597,(515) 887-4181
Bob Boland Ford  Inc.,http://www.bobbolandford.net,115 West Ramsey,Bancroft,IA,50517,(515) 765-1212
Pritchard Auto Company,http://www.pritchardauto.com,Highway 18 East,Britt,IA,50423,(641) 843-3871
