Dealer Name,website,street,city,state,zip,phone
Dan Brenner Ford  Inc.,http://www.danbrennerford.com,1520 Highway 27,Goodland,KS,67735,(785) 899-2316
Dick Edwards Auto Plaza,http://www.dickedwardsautoplaza.com,1825 Goldenbelt Boulevard,Junction City,KS,66441,(785) 238-5114
Long McArthur  Inc.,http://www.long-mcarthur.com,3450 South 9th Street,Salina,KS,67401,(785) 823-2237
Reedy Ford  Inc.,http://www.reedyfordonline.com,3319 North Summit,Arkansas City,KS,67005,(620) 442-4800
Kline Motors  Inc.,http://www.kline-motors.com,1721 Main,Winfield,KS,67156,(620) 221-2040
Koehn Motors,http://www.koehnford.com,902 East 16th,Wellington,KS,67152,(620) 326-5915
Eddy's Ford of Augusta,http://www.fordofaugustainc.com,9955 Sw Diamond Road,Augusta,KS,67010,(316) 775-2248
Rusty Eck Ford Inc,http://www.rustyeckford.net,7310 East Kellogg,Wichita,KS,67207,(888) 631-7808
Mel Hambelton Ford Inc,http://www.melhambelton1.com,11771 West Kellogg,Wichita,KS,67209,(316) 462-3673
Beloit Auto And Truck Plaza Inc,http://www.beloitautoandtruckplazainc.com,3133 US Hwy 24,Beloit,KS,67420,800-748-8408
Womack Sunshine Ford,http://www.womackford.net,1510 E 6th St Trafficway,Concordia,KS,66901,(785) 243-1220
Victory Ford,http://www.victoryfordinbonnersprings.com,1800 North 100th Terrace,Kansas City,KS,66109,(913) 422-2045
Shawnee Mission Ford,http://www.shawneemissionfordks.com,11501 W. Shawnee Mission Pkwy,Shawnee,KS,66203,(913) 631-0000
Olathe Ford Lincoln,http://www.olathe-ford.com,1845 East Santa Fe,Olathe,KS,66062,(800) 280-9927
Bob Allen Ford,http://www.boballenonline.com,9239 Metcalf Avenue,Overland Park,KS,66212,(913) 381-3000
Zeck Ford,http://www.zeckfordsales.net,4501 S 4th St Trwy,Leavenworth,KS,66048,(800) 394-1650
Laird Noller Automotive  Inc.,http://www.lairdnollerautomotive.com,935 W. 23rd,Lawrence,KS,66046,(785) 843-3500
Crow-Moddie Ford,http://www.crowmoddieford.com,1212 South 4th St.,Burlington,KS,66839,(620) 364-2197
Twin Motors Ford,http://www.twinmotorsford.net,2501 North State,Iola,KS,66749,(620) 365-3632
Beckman Ford Inc,http://www.beckmanfordinc.com,701 North Maple,Garnett,KS,66032,(785) 448-5441
