Dealer Name,website,street,city,state,zip,phone
Paducah Ford Inc.,http://www.paducahfordsvt.com,3476 Park Avenue,Paducah,KY,42001,(270) 444-0011
Dempewolf Ford,http://www.dempewolfford.com,2530 US 41 North,Henderson,KY,42420,(270) 827-3566
Champion Ford Lincoln  Inc.,http://www.4championford.com,140 Southtown Blvd.,Owensboro,KY,42303,(270) 684-1441
James Collins Ford,http://www.jamescollinsford.net,809 South 5th Street,Louisville,KY,40203,(502) 584-9731
All-State Ford Truck Sales,http://www.allstateford.com,1357 Gardiner Lane,Louisville,KY,40213,(502) 459-0550
Byerly Ford,http://www.louisvilleford.com,4041 Dixie Hwy.,Louisville,KY,40216,(502) 448-1661
Oxmoor Ford Lincoln  Inc.,http://www.oxmoorfordinc.com,100 Oxmoor Lane,Louisville,KY,40222,(502) 426-2500
Town & Country Ford,http://www.fordlouisville.net,6015 Preston Hwy,Louisville,KY,40219,(502) 964-8131
Bill Collins Ford Lincoln of Louisville,http://www.billcollinsford.net,4220 Bardstown Road,Louisville,KY,40218,(502) 459-9550
Tri-County Ford,http://www.tricountyford.net,4032 Commerce Parkway,Buckner,KY,40010,(866) 417-0262
Ray's Ford  Inc.,http://www.raysfordinc.com,385 Bypass Road,Brandenburg,KY,40108,(270) 422-4901
Knox Ford,http://www.knoxford.net,461 S.Dixie Hwy,Radcliff,KY,40160,(270) 351-9800
Airport Ford,http://www.airportfordofflorence.com,8001 Burlington Pike,Florence,KY,41042,(859) 371-4750
Mike Castrucci Ford Lincoln of Alexandria  Inc.,http://www.castruccifordofalexandria.com,7400 Alexandria Pike,Alexandria,KY,41001,(859) 448-9400
Earl Floyd Ford,http://www.earlfloydford.net,2687 Highway 227,Carrollton,KY,41008,(502) 732-6674
B F Evans Ford Inc,http://www.bfevansford.com,270 US 431 North,Livermore,KY,42352,(270) 278-2376
Boyd County Ford Inc.,http://www.boydcountyford.com,2119 Greenup Avenue,Ashland,KY,41101,(606) 547-1227
Grayson Ford,http://www.graysonford.net,333 C.W. Stevens Blvd,Grayson,KY,41143,(606) 474-5414
Conway Heaton Inc,http://www.conwayheaton.com,810 North Third St,Bardstown,KY,40004,(502) 348-3929
Bob Swope Ford Inc,http://www.swopeford.net,1307 North Dixie Ave,Elizabethtown,KY,42701,(270) 737-1000
Leon Riley Ford,http://www.leonrileyford.net,99 North Main,Benton,KY,42025,(270) 527-3177
Parker Ford Lincoln  Inc.,http://www.parkerford.net,701 Main Street,Murray,KY,42071,(270) 753-5273
Purchase Ford-Lincoln,http://www.purchaseford.net,1352 Highway 45 North,Mayfield,KY,42066,(270) 247-9300
Madison County Ford Lincoln,http://www.madisoncountyfordky.com,768 Eastern Bypass at Boggs Lane,Richmond,KY,40475,(859) 623-3252
Stuart Powell Ford Inc,http://www.stuartpowellford.net,225 South Danville Bypass,Danville,KY,40422,(800) 334-0005
Glenn Ford Lincoln,http://www.myglennford.com,4080 Lexington Road,Nicholasville,KY,40356,(859) 271-1800
Greenwood Ford Lincoln,http://www.greenwoodfordbowlinggreen.com,3075 Scottsville Road,Bowling Green,KY,42104,(270) 843-9041
Hunt Ford Inc,http://www.huntfordky.com,1000 South Main Street,Franklin,KY,42134,(270) 586-3281
Gillie Hyde Ford Lincoln  Inc.,http://www.gilliehydeford.net,610 Happy Valley Road,Glasgow,KY,42141,(270) 651-2125
O'Brien Ford,http://www.obrienfordteam.com,720 Mt. Eden Road  Highway 53 South,Shelbyville,KY,40065,(502) 633-4535
Don Franklin Ford,http://www.franklinfordky.com,576 Hudson Street,Columbia,KY,42728,(270) 384-3016
Lawhorn Ford Sales,http://www.lawhornford.com,2434 Lakeway Drive,Russell Springs,KY,42642,(270) 866-3391
Legacy Ford Lincoln,http://www.legacyfordcorbin.com,13305 North HWY 25E,Corbin,KY,40701,(606) 528-1904
Don Franklin Ford Lincoln  LLC,http://www.donfranklinfordlondon.com,388 West Highway 192,London,KY,40741,(606) 864-3555
Jack Kain Ford Inc.,http://www.jackkainford.net,3405 Lexington Rd.,Versailles,KY,40383,(859) 873-6666
Tim Short Ford of Morehead,http://www.timshortfordflemingsburg.com,99 Tim Short Drive,Morehead,KY,40351,(606) 849-2321
Dutch's Ford,http://www.dutchsford.com,751 Indian Mound Drive-On the bypass,Mount Sterling,KY,40353,(800) 923-3673
Crossroads Ford Lincoln  Inc.,http://www.crossroadsfordinky.com,1070 Versailles Road,Frankfort,KY,40601,(502) 695-1990
Paul Miller Ford Inc,http://www.paulmillerford.net,975 New Circle Road Ne,Lexington,KY,40505,(855) 715-3467
Moore Ford,http://www.moorefordofky.com,1201 South Main Street,Hartford,KY,42347,(270) 298-4800
Tim Short Ford,http://www.timshortford.net,107 Rockwood Lane,Hazard,KY,41701,(606) 436-5239
Pennyrile Ford,http://www.pennyrilefordhopkinsville.com,5505 Ft.Campbell Blvd.,Hopkinsville,KY,42240,(270) 886-8131
Bruce Walters Ford Sales,http://www.brucewaltersford.com,302 South Mayo Trail,Pikeville,KY,41501,(606) 437-9641
Watermark Ford of Madisonville,http://www.madisonvillefordky.com,1801 Lantaff Boulevard,Madisonville,KY,42431,(270) 821-4100
Alton Blakley Ford,http://www.altonblakleyford.com,2130 South Highway 27,Somerset,KY,42501,(877) 529-7012
Cumberland Ford Motors Inc,http://www.cumberlandford.org,1501 Highway 25 E,Middlesboro,KY,40965,(606) 248-3350
Hutch Ford Lincoln,http://www.hutchford.com,1701 West Main Street,West Liberty,KY,41472,(606) 743-3101
