Dealer Name,website,street,city,state,zip,phone
Arundel Ford,http://www.arundelfd.com,1561 Portland Road,Arundel,ME,04046,(800) 889-7171
Prime Ford,http://www.primeford.net,857 Portland Road,Saco,ME,04072,(207) 282-0300
Starkey Ford Inc,http://www.starkeyfordinc.com,422 Route 1,York,ME,03909,(207) 363-2483
Yankee Ford,http://www.yankeefordsales.com,165 Waterman Drive,South Portland,ME,04106,(207) 799-5591
Rowe Ford Sales,http://www.rowefordsales.com,91 Main St.,Westbrook,ME,04092,(800) 872-7693
Rowe Auburn,http://www.auburnmotorsales.com,699 Center St.,Auburn,ME,04210,(877) 254-8488
Ripley and Fletcher Ford,http://www.ripleyandfletcherford.com,80 Main Street,South Paris,ME,04281,(207) 743-8938
Tucker Ford,http://www.tuckerford.com,157 Pleasant Street,Brunswick,ME,04011,(207) 725-1228
Casco Bay Ford,http://www.cbayford.com,1213 U.S 1,Yarmouth,ME,04096,(207) 846-5577
Bailey Brothers,http://www.baileybrosford.com,12 Park Street,Livermore Falls,ME,04254,(207) 897-3965
Quirk Ford of Augusta,http://www.quirkfordofaugusta.com,7 Water Street,Hallowell,ME,04347,(207) 430-1600
Wiscasset Ford  Inc.,http://www.wizford.net,Route 1,Wiscasset,ME,04578,(207) 882-9431
Whited Ford Truck Center,http://www.whited4d.com,207 Perry Road,Bangor,ME,04401,(207) 947-3673
Darling's Bangor Ford,http://www.darlingsford.net,403 Hogan Road,Bangor,ME,04401,(800) 287-1271
Varney Ford  Inc.,http://www.varneyford.net,237 Moosehead Trail,Newport,ME,04953,(207) 368-4300
Quirk Ford of Belfast,http://www.quirkfordbelfast.com,244 Main Street,Belfast,ME,04915,(207) 338-1300
Rockland Ford,http://www.rocklandfordinc.com,165 New County Road,Thomaston,ME,04861,(207) 594-4466
Griffeth Ford Lincoln,http://www.griffeth-ford.com,16 Access Highway,Caribou,ME,04736,(207) 496-3111
Prouty Ford Inc,http://www.proutyford.com,19 Summer Street,Dover-Foxcroft,ME,04426,(207) 564-3395
Farmington Ford,http://www.farmingtonfordmaine.com,531 Wilton Road,Farmington,ME,04938,(207) 778-3334
Hight Ford  Inc.,http://www.hightford.com,242 Madison Avenue,Skowhegan,ME,04976,(207) 474-3334
Ray Haskell Ford Lincoln,http://www.rayhaskellford.net,801 Kennedy Memorial Drive,Oakland,ME,04963,(207) 873-7193
Pelletier Ford,http://www.pelletierfordfortkent.com,213 East Main Street,Fort Kent,ME,04743,(207) 834-3173
York Ford Sales,http://www.yorkfordsales.com,315 North St.,Houlton,ME,04730,(207) 532-6534
Cole - Whitney Ford Inc,http://www.colewhitneyford.net,74 Main Street,Lincoln,ME,04457,(207) 794-6522
Profile Blueberry Ford  Inc.,http://www.blueberryford.com,241 Dublin Street,Machias,ME,04654,(207) 255-4747
