Dealer Name,website,street,city,state,zip,phone
Pittsville Motors Inc,http://www.pittsvillefordinc.com,34690 Old Ocean City Road,Pittsville,MD,21850,(877) 657-6536
Sherwood Ford Lincoln of Salisbury  Inc.,http://www.sherwoodfordsalisbury.com,1902 North Salisbury Blvd,Salisbury,MD,21801,(888) 855-9217
Preston Ford Inc.,http://www.prestonfordinc.com,4313 Preston Road,Hurlock,MD,21643,(410) 673-7171
Elkton Ford,http://www.fordofelkton.com,503 East Pulaski Highway,Elkton,MD,21921,(410) 398-3600
Ramsey Ford,http://www.myramseyford.com,1233 Telegraph Road,Rising Sun,MD,21911,(888) 862-1266
Hinder Ford,http://www.hinderford.net,505 S. Philadelphia Blvd.,Aberdeen,MD,21001,(410) 272-2200
Hertrich Ford of Easton,http://www.hertrichfordeaston.com,9617 Ocean Gateway,Easton,MD,21601,(410) 822-2900
Sheehy Ford / Marlow Heights,http://www.sheehyfordmarlowheights.com,5000 Auth Road,Suitland,MD,20746,(800) 640-5368
Chesapeake Ford Truck,http://www.elliott-wilsontrucks.com,8400 Westphalia Road,Upper Marlboro,MD,20774,(301) 455-1800
Lindsay Ford  LLC,http://www.elindsayfordofwheaton.com,11250 Veirs Mill Road,Wheaton,MD,20902,(888) 901-2978
Darcars Ford,http://www.darcarsford.com,9020 Lanham Severn Road,Lanham,MD,20706,(888) 823-1867
Koons Silver Spring Ford Lincoln,http://www.koonsfordofsilverspring.net,3111 Automobile Blvd.,Silver Spring,MD,20904,(301) 890-6100
Academy Ford Sales,http://www.academyforddealer.com,13401 Baltimore Blvd,Laurel,MD,20707,(800) 658-7794
Upper Marlboro Ford,http://www.uppermarlboroford.net,5701 Crain Highway,Upper Marlboro,MD,20772,301-627-5600
Waldorf Ford Inc.,http://www.waldorfford.us,2440 Crain Hwy,Waldorf,MD,20601,(301) 843-2400
Sheehy Ford Of Gaithersburg,http://www.sheehyfordgaithersburg.net,901 North Frederick Ave.,Gaithersburg,MD,20879,(877) 845-0873
Apple Ford Lincoln,http://www.appleford.net,8800 Stanford Blvd.,Columbia,MD,21045,(866) 849-4229
Hunt Ford Inc.,http://www.huntfordinc.com,6825 Crain Highway,La Plata,MD,20646,(301) 934-8186
Koons Ford Of Annapolis Inc.,http://www.koonsfordannapolis.com,2540 Riva Road,Annapolis,MD,21401,(410) 224-2100
Bob Bell Ford,http://www.bobbellford.net,7125 Ritchie Highway,Glen Burnie,MD,21061,(410) 766-3600
Plaza Ford Inc,http://www.plazafordinc.net,1701 Bel Air Road,Bel Air,MD,21014,(410) 879-9033
Al Packer's White Marsh Ford LLC,http://www.alpacker-whitemarsh.com,9801 Pulaski Highway,Middle River,MD,21220,(443) 777-5000
Chesapeake Ford Truck Sales Inc,http://www.chesapeakefordtrucks.com,8540 Pulaski Highway,Baltimore,MD,21237,(410) 682-4000
Bob Davidson Ford Lincoln,http://www.bobdavidsonford.com,1845 E. Joppa Road,Baltimore,MD,21234,(410) 661-6400
Norris Ford,http://www.baltimoremarylandford.com,901 Merritt Boulevard,Baltimore,MD,21222,(410) 285-0200
Koons Ford Of Baltimore,http://www.koonsfordbaltimore.com,6970 Security Blvd.,Baltimore,MD,21244,(888) 380-8561
Liberty Ford,http://www.libertyfordofmd.com,9311 Liberty Road,Randallstown,MD,21133,(410) 504-2897
Len Stoler Ford,http://www.lenstolerford.net,11275 Reisterstown,Owings Mills,MD,21117,(410) 356-7000
Century Ford of Mt Airy  Inc,http://www.centuryfordmtairy.com,302 Century Drive,Mt Airy,MD,21771,(301) 829-2800
Shaffer Ford,http://www.shafferford.com,10335 Mt Savage Road NW,Cumberland,MD,21502,(301) 777-3900
Diehl's Ford Sales  Inc.,http://www.diehlsford.com,11782 National Pike (rt. 40 East),Grantsville,MD,21536,(301) 895-5135
The Frederick Motor Company,http://www.fredmotorco.com,1 Waverley Drive,Frederick,MD,21702,(800) 734-9118
Crouse Ford Sales Inc,http://www.crouseford.net,11 Antrim Boulevard,Taneytown,MD,21787,(410) 756-6655
Hagerstown Ford,http://www.fordofhagerstown.com,1714 Massey Blvd.,Hagerstown,MD,21740,(301) 733-3673
Shaffer Ford Sales Inc.,http://www.shafferfordoakland.com,12532 Garrett Highway,Oakland,MD,21550,(301) 334-2121
Prince Frederick Ford  Inc.,http://www.princefrederickfordinc.com,Routes 4  and 231,Prince Frederick,MD,20678,(301) 855-1739
Leonardtown Ford,http://www.fordofleonardtown.com,26322 Point Lookout Rd  Route 5 N,Leonardtown,MD,20650,(301) 475-3111
Lexington Park Ford Lincoln,http://www.lexingtonparkfordlincoln.com,21575 Great Mills Road,Lexington Park,MD,20653,(301) 863-8111
Hertrich Ford of Pocomoke,http://www.hertrichfordpocomoke.com,1618 Ocean Highway,Pocomoke City,MD,21851,(410) 957-3333
