Dealer Name,website,street,city,state,zip,phone
Cole Ford Lincoln  LLC,http://www.colestoryford.com,410 East Chicago Street,Coldwater,MI,49036,(517) 278-5661
Auto Park Ford,http://www.autopark-fords.com,1820 S Centerville Road,Sturgis,MI,49091,(269) 651-7728
Stillwell Ford Lincoln,http://www.kenstillwellford.net,3780 Carleton Road,Hillsdale,MI,49242,(517) 849-2121
Campbell Ford Lincoln  Inc.,http://www.campbellfordniles.com,2801 S. Eleventh St,Niles,MI,49120,(269) 684-8300
Three Oaks Ford,http://www.threeoaksford.net,6736 West U.S. Highway 12,Three Oaks,MI,49128,(269) 756-2081
C. Wimberley Ford  Inc.,http://www.hwford.com,56081 M-51 South,Dowagiac,MI,49047,(269) 782-2151
Siemans Ford Inc,http://www.siemanscars.com,8961 Red Arrow Hwy,Bridgman,MI,49106,(269) 465-5344
Bell Ford Lincoln  Inc.,http://www.bellfordofadrian.com,4510 West Us 223,Adrian,MI,49221,(517) 265-8187
Guthrie Ford,http://www.guthrieford.com,10405 N. Brooklyn Rd,Brooklyn,MI,49230,(517) 592-2112
Spirit Ford  Inc.,http://www.spiritfordofdundee.com,4402 Ann Arbor Road,Dundee,MI,48131,(734) 529-5521
Briarwood Ford,http://www.briarwoodford.com,7070 Michigan Avenue,Saline,MI,48176,(734) 429-5478
Varsity Ford Sales  Inc.,http://www.varsityfordsales.com,3480 Jackson Road,Ann Arbor,MI,48103,(734) 996-2300
Albion Motors Ford  Inc.,http://www.albionmotorsford.com,1411 North Eaton Road,Albion,MI,49224,(517) 629-9111
Boshears Ford Sales,http://www.boshearsford.com,15081 W Michigan Ave,Marshall,MI,49068,(269) 781-3981
Seymour Ford Lincoln,http://www.seymourfordofjackson.com,2601 Seymour Rd.,Jackson,MI,49201,(517) 787-9500
Candy Ford  Inc.,http://www.candyford.net,403 Lansing Street,Charlotte,MI,48813,(888) 442-2639
Lakeview Ford-Lincoln Inc.,http://www.lakeviewfordlincoln.com,295 Dickman Road,Battle Creek,MI,49037,(269) 441-2500
Jim Navarre Ford Lincoln  Inc.,http://www.jimnavarreford.com,2051 W. Monroe Road,Alma,MI,48801,(989) 681-5776
Krapohl Ford & Lincoln Co.,http://www.krapohlford.com,1415 E Pickard Street,Mount Pleasant,MI,48858,(800) 772-5974
Rick Ford Sales Inc,http://www.rickfordsales.com,111 E. Saginaw St.,Hemlock,MI,48626,(989) 642-5261
