Dealer Name,website,street,city,state,zip,phone
Dave Syverson Ford Lincoln,http://www.davesyversonford.net,2310 E Main Street,Albert Lea,MN,56007,(507) 373-1438
Holiday Ford Lincoln  Inc.,http://www.holidayfordaustin.com,2701 Oakland Avenue West,Austin,MN,55912,(507) 437-3291
Marthaler Ford of Worthington,http://www.marthalerfordofworthington.com,611 Oxford Street,Worthington,MN,56187,(507) 727-7000
Herman Motor Co.,http://www.hermanmotorco.com,312 E Main Street,Luverne,MN,561561902,(507) 283-4427
Fairmont Ford,http://www.fairmontfordsales.com,700 East Blue Earth Avenue,Fairmont,MN,56031,(507) 235-6681
Aitkin Motor Co,http://www.aitkinmotorco.com,108 Second Street N.E.,Aitkin,MN,56431,(218) 927-2169
Mills Motor  Inc.,http://www.millsfordbrd.com,14858 Dellwood Drive,Baxter,MN,56425,(218) 825-3536
Krejci Ford  Inc.,http://www.krejciford.com,206 Highway Ave West,Blooming Prairie,MN,55917,(507) 583-2046
Juettner Motors Inc.,http://www.juettnerford.com,1900 S Broadway,Alexandria,MN,56308,(320) 763-3126
John Wiese Ford Inc.,http://www.johnwieseford.net,203 10th St South,Sauk Centre,MN,56378,(888) 868-6561
Lundeen Bros Inc,http://www.lundeenbrosford.net,Hwy 55 E PO Box 130,Annandale,MN,55302,(800) 457-8969
Holt Motors  Inc.,http://www.holtfordcokato.com,245 West Cokato Street,Cokato,MN,55321,(320) 286-2176
Morrie's Buffalo Ford,http://www.morriesbuffaloford.com,702 E. Highway 55,Buffalo,MN,55313,(763) 682-1622
Tenvoorde Ford Inc,http://www.tenvoordefordonline.com,185 Roosevelt Road,Saint Cloud,MN,56301,(888) 273-0540
Cornerstone Ford,http://www.cornerstoneford.com,17219 Highway 10 NW,Elk River,MN,55330,(763) 441-2300
Jay Malone Motors,http://www.jaymaloneford.com,1165 Highway 7 at 22,Hutchinson,MN,55350,(320) 587-4748
Apple Ford Lincoln Apple Valley,http://www.applevalleyford2.com,7200 150th Street  West,Apple Valley,MN,55124,(952) 431-5900
Freeway Ford,http://www.freewayford.net,9700 Lyndale Ave South,Minneapolis,MN,55420,(952) 888-9481
Inver Grove Ford Lincoln,http://www.fordofinvergroveheights.com,4725 S Robert Trail,Inver Grove Heights,MN,55077,(800) 730-1765
Metropolitan Ford,http://www.metropolitanford.com,12477 Plaza Drive,Eden Prairie,MN,55344,(952) 943-9000
Apple Ford Shakopee,http://www.applefordofshakopee.biz,1624 Weston Court,Shakopee,MN,55379,(952) 445-2420
Boyer Ford Trucks,http://www.boyerfordtrucks.com,2425 Broadway Street Northeast,Minneapolis,MN,55413,(612) 378-6000
Hastings Automotive  Inc.,http://www.hastingsautomotive.com,3625 Vermillion Street,Hastings,MN,55033,(651) 437-4030
Morrie's Minnetonka Ford Lincoln,http://www.minnetonkaford.com,13400 Wayzata Blvd.,Minnetonka,MN,55305,(952) 546-5441
Midway Ford Company,http://www.rosevillemidwayford.net,2777  Snelling Ave. N.,Roseville,MN,55113,(651) 636-8200
Dokmo Ford,http://www.dokmoford.com,1201 South Highway 3,Northfield,MN,55057,(507) 645-4478
Wolf Motor Company Inc.,http://www.wolfmotorcompany.com,600 West 2nd Street,Jordan,MN,55352,(952) 492-2340
Jeff Belzer's New Prague Ford,http://www.jeffbelzernewpraguefordmn.com,1181 280th Street West,New Prague,MN,56071,(952) 758-2700
New Brighton Ford,http://www.newbrightonford.net,1100 Silver Lake Road,New Brighton,MN,55112,(651) 633-9010
AutoNation Ford White Bear Lake,http://www.autonationford-whitebearlake.com,1493 East County Road E,White Bear Lake,MN,55110,(651) 301-8386
Superior-Brookdale Ford,http://www.brookdaleford.net,9700 56th Avenue North,Plymouth,MN,55442,(763) 559-9111
Waconia Ford Sales  Inc.,http://www.waconiaford.net,235 West Hwy 5,Waconia,MN,55387,(800) 776-6193
North Country Ford Lincoln,http://www.northcountryford.net,10401 Woodcrest Dr.,Coon Rapids,MN,55433,(763) 427-1120
Sebald Motor Sales Inc,http://www.sebaldmotorsales.com,6352 Merchant St,Askov,MN,55704,(320) 838-3141
Arlen Krantz Ford,http://www.krantzford.com,318 N. Main,Sandstone,MN,55072,(320) 245-2177
Cavallin Inc,http://www.cavallininc.com,630 13th Street,Pine City,MN,55063,(320) 629-2549
Atwater Ford Inc.,http://www.atwaterford.com,507 Pleasant Avenue,Atwater,MN,56209,(320) 974-8811
Mills Ford of Willmar,http://www.millsfordwil.com,4100 Highway 71 South,Willmar,MN,56201,(320) 235-0654
Yarmon Ford  Inc.,http://www.yarmonford.net,640 W Hwy 23,Paynesville,MN,56362,(320) 243-4235
Nolan Baker Ford Sales Inc.,http://www.nolanbakerford.com,901 Atlantic Avenue,Kerkhoven,MN,56252,(320) 264-2871
Houston Ford,http://www.houstonfordpineriver.com,Highway 371,Pine River,MN,56474,(800) 782-0056
Bob Lowth Ford Inc,http://www.boblowthford.com,3010 Bemidji Ave,Bemidji,MN,56601,(218) 751-3140
Walker Ford,http://www.walkerfordsales.net,8065 State 371 NW  Box 1090,Walker,MN,56484,(218) 547-1412
Owatonna Ford-Lincoln,http://www.owatonnaford.com,1001 Hoffman Drive,Owatonna,MN,55060,(507) 451-7860
Milo Peterson Ford Co.,http://www.milopetersonford.net,Highway 56 North,Kenyon,MN,55946,(507) 789-6113
Deml Ford Lincoln  Inc.,http://www.demlford.net,2100 Hwy 14 West,Waseca,MN,56093,(507) 835-3425
Braham Motor Service  Inc.,http://www.brahamford.com,216 So Main St,Braham,MN,55006,(320) 396-2962
Hayford Ford,http://www.hayfordford.com,1330 301st Ave NE,Isanti,MN,55040,(763) 689-5555
Anderson & Koch Ford Inc.,http://www.andersonandkochford.com,Freeway I-35 And Highway 95,North Branch,MN,55056,(651) 674-4465
Sugar Loaf Ford  Inc.,http://www.sugarloaffordinc.com,1222 W. Service Drive  Hwy 61,Winona,MN,55987,(507) 454-5170
Rochester Ford,http://www.rochesterfordofmn.com,4900 Hwy 52 North,Rochester,MN,55901,(507) 288-7564
Cloquet Ford Center,http://www.cloquetford.com,701 Washington Avenue,Cloquet,MN,55720,(218) 879-4668
NorthStar Ford,http://www.northstarfordduluth.com,1420 Miller Trunk Hwy,Duluth,MN,55811,(218) 727-3673
Gustafson Motors Company,http://www.gustafsonmotors.com,Hwy 53,Cook,MN,55723,(218) 666-5952
Lundgren Ford,http://www.lundgrenford.net,Hwy 53,Eveleth,MN,55734,(218) 744-4821
Christian Brothers Ford  Inc.,http://www.christianbrothersford.net,1375 Highway 2 East,Crookston,MN,56716,(218) 281-1338
