Dealer Name,website,street,city,state,zip,phone
Wolf Auto Ogallala  LLC,http://www.wolfautofordogallala.com,602  West 1st Street,Ogallala,NE,69153,(308) 284-2001
Woodhouse Ford of Omaha  Inc.,http://www.woodhousefordofomahainc.com,3633 North 72nd Street,Omaha,NE,68134,(402) 574-2600
Baxter Ford South,http://www.baxterforddealersouth.com,9203 S. 145th St.,Omaha,NE,68138,(402) 896-6000
Baxter Ford of Omaha,http://www.baxterforddealerwest.com,18505 California Street,Omaha,NE,68022,(888) 842-5440
Woodhouse Ford South  Inc.,http://www.woodhousefordsouth.net,2288 Osage Ranch Blvd.,Plattsmouth,NE,68048,(402) 296-9000
Woodhouse Ford  Inc.,http://www.woodhouseford.net,2546 South Highway 30,Blair,NE,68008,(402) 426-4126
Tekamah Ford Lincoln  Inc.,http://www.tekamahford.net,123 South 13th Street,Tekamah,NE,68061,(866) 460-5354
Larson Motors Inc,http://www.larsonmotors.info,1801 Frontage Road,Nebraska City,NE,68410,(402) 873-3449
Lee Sapp Ford,http://www.leesappford.net,1602 Silver Street,Ashland,NE,68003,(402) 944-3367
Hullman's Ford Lincoln  Inc.,http://www.hullmansford.com,1416 Harlan St,Falls City,NE,68355,(402) 245-4413
Deveny Ford,http://www.devenyford.com,504 Chief Street,Benkelman,NE,69021,(308) 423-2532
Ainsworth Motors Inc,http://www.ainsworthmotors.net,136 E 2nd St,Ainsworth,NE,69210,(402) 387-1681
Cover - Jones Motor Co,http://www.cover-jones.com,3rd & Bighorn,Alliance,NE,69301,(800) 344-9288
Sid Dillon Ford,http://www.siddillionford.com,305 So. Second,Ceresco,NE,68017,(402) 665-2421
Anderson Ford Lincoln,http://www.andersonfordlin.com,2500 Wildcat,Lincoln,NE,68521,(866) 725-1996
Diers  Inc.,http://www.diersford.net,2445 N. Broad Street,Fremont,NE,68025,(402) 721-1471
Friesen Ford,http://www.friesenford.net,3115 South 16th Street,Aurora,NE,68818,(402) 694-3111
Anderson Auto Group of Grand Island,http://www.andersonfordgi.com,120 Diers Avenue,Grand Island,NE,68803,(888) 705-6566
Janssen Ford of York,http://www.janssenfordofyork.net,2605 South Lincoln Avenue,York,NE,68467,(402) 362-3326
Hastings Ford Lincoln,http://www.hastingsfordofnebraska.com,3101 Osborne Drive West,Hastings,NE,68901,(402) 463-3116
Beatrice Ford Lincoln  Inc.,http://www.beatriceford.net,4115 North 6th St.,Beatrice,NE,68310,(888) 232-8742
C & O Ford  Inc.,http://www.cofordoffairbury.com,601 5th Street,Fairbury,NE,68352,(402) 729-2231
Sid Dillon Ford Lincoln  Inc.,http://www.siddillonfordlincoln.com,2375 East Highway 33,Crete,NE,68333,(402) 826-2668
Field Ford - Merc Inc,http://www.fieldford.com,235 Clay St,Tecumseh,NE,68450,(402) 335-3365
Ranchland Ford,http://www.ranchland-ford.com,East Highway 2,Broken Bow,NE,68822,(308) 872-6488
Meyer Automotive  Inc.,http://www.meyerford.com,975 280th Rd.,Seward,NE,68434,(800) 766-2855
Wahlstrom Ford Inc.,http://www.wahlstromcars.com,E Hwy #20,Chadron,NE,69337,(866) 397-9532
Sides & Milburn Inc,http://www.sidesandmilburn.com,111 West 2nd St.,Rushville,NE,69360,(308) 327-2472
Gene Steffy Ford  LLC,http://www.genesteffyford.com,2215 East 23rd Street,Columbus,NE,68601,(402) 564-3218
Reinecke Motor Company,http://www.reineckemotorcompany.com,204 East 11th Street,Schuyler,NE,68661,(402) 352-2427
Big Country Auto of Madison County,http://www.Bigcountryautomadison.com,2500 North Main Street,Madison,NE,68748,(402) 454-3339
Kass Ford Sales,http://www.kassfordsales.com,322 Lincoln Avenue,Hebron,NE,68370,(402) 768-6064
Jacobs Ford,http://www.Jacobsfordofstpaul.com,303 2nd St,St Paul,NE,68873,(308) 754-4448
Kenesaw Motor Co,http://www.kenesawmotorco.com,119 W Maple Street,Kenesaw,NE,68956,(402) 752-3360
Big John's Ford,http://www.bigjohnsford.net,South Highway 10,Minden,NE,68959,(308) 832-1640
Janssen & Sons Ford,http://www.janssenandsonsford.com,1222 West Highway 6,Holdrege,NE,68949,(308) 995-4418
Platte Valley Auto Mart-Kearney  Inc.,http://www.plattevalleykearneyford.com,4210 North 2nd Avenue,Kearney,NE,68847,(308) 237-2171
Imperial Country Ford Inc,http://www.imperialnecountryford.com,East 5th Street & Hwy 61,Imperial,NE,69033,(800) 255-9762
Fremont Motor Scottsbluff  LLC,http://www.fremontscottsbluff.com,1515 E. 20th Street,Scottsbluff,NE,69361,(866) 873-8712
Platte Valley Auto Mart,http://www.plattevalleyautomart.com,400 N Jefferson,Lexington,NE,68850,(308) 324-5619
Ericson Ford Inc,http://www.wesellservice.net,813 P St.,Loup City,NE,68853,(308) 745-0667
Courtesy Ford Lincoln Sales  Inc.,http://www.courtesyford.net,423 Madison Avenue,Norfolk,NE,68701,(402) 371-9350
Wagner Ford,http://www.drivewagnerford.com,211 West 2nd,McCook,NE,69001,(877) 361-3673
Moody Motor,http://www.moodymotor.com,251 Spruce Avenue,Niobrara,NE,68760,(402) 857-3711
Arnie's Ford  Inc.,http://www.arniesfordwayne.com,119 East 3rd Street,Wayne,NE,68787,(800) 467-3780
Bill Summers Ford  LLC,http://www.billsummersford.com,I-80 & Us 83,North Platte,NE,69101,(308) 532-2500
Prairie Hills Ford,http://www.prairiehillsford.us,Highway 20 West,O'Neill,NE,68763,(402) 336-2400
Tehrani Motor Co,http://www.tehranimotorco.com,P.O. Box 744,Valentine,NE,69201,(402) 376-1661
