Dealer Name,website,street,city,state,zip,phone
Capital Ford,http://www.capitalfordcarsoncity.com,3660 South Carson Street,Carson City,NV,89701,(775) 882-5353
Jones - West Ford,http://www.joneswestford.net,3600 Kietzke Lane,Reno,NV,89502,(775) 329-8800
Gallagher Ford  Inc.,http://www.gallagherford.net,650 30th Street,Elko,NV,89801,(775) 738-3147
Fallon Auto Mall,http://www.fallonfordautomall.com,1351 West Williams Street,Fallon,NV,89406,(775) 423-2171
Ford Country,http://www.fordcountryhenderson.com,280 N Gibson Road,Henderson,NV,89014,(800) 583-5703
Gaudin Ford,http://www.gaudinforddirect.com,6625 Roy Horn Way,Las Vegas,NV,89118,(702) 731-2121
Rush Truck Center  Las Vegas,http://www.rushtruckcenter-lasvegas.com,4120 Donovan Way,North Las Vegas,NV,89030,(702) 970-5000
Friendly Ford,http://www.friendlyfordlasvegas.com,660 N Decatur Blvd,Las Vegas,NV,89107,(800) 928-7190
Team Ford Lincoln,http://www.teamfordlasvegas.com,5445 Drexel Road,Las Vegas,NV,89130,(702) 395-5100
DeLong Ford  Inc.,http://www.delongfordwinnemucca.com,3305 Potato Road,Winnemucca,NV,89445,(775) 623-5001
