Dealer Name,website,street,city,state,zip,phone
Ford of Englewood  Inc.,http://www.fordenglewood.com,40 Van Nostrand Avenue,Englewood,NJ,07631,(201) 569-6500
All American Ford Inc.,http://www.aaford.net,520 River Street,Hackensack,NJ,07601,(201) 487-6700
Paramus Ford  Inc.,http://www.paramusford.net,375 Route 17,Paramus,NJ,07652,(201) 262-4900
Bayshore Ford,http://www.bayshorefordnj.com,200 South Broadway,Pennsville,NJ,08070,(856) 678-3111
Ace Motor Sales  Inc.,http://www.aceford.com,487 Mantua Ave,Woodbury,NJ,08096,(856) 845-6600
Holman Ford Lincoln - Turnersville,http://www.holmanturnersville.com,3641 Route 42 South,Turnersville,NJ,08012,(856) 728-7800
Echelon Ford Inc,http://www.echelonfordinc.com,#4 S White Horse,Stratford,NJ,08084,(856) 627-8400
Winner Ford,http://www.winnerford.com,250 Haddonfield-Berlin Road,Cherry Hill,NJ,08034,(856) 428-4000
Lester Glenn Ford,http://www.lesterglennford.net,900 Highway 35,Ocean,NJ,07712,(732) 775-1500
Seabreeze Ford,http://www.seabreezeford.com,1701 Route 35,Wall,NJ,07719,(732) 681-1600
Buhler Ford  Inc.,http://www.bulerford.net,105 Route 36,Eatontown,NJ,07724,(732) 544-5515
George Wall Ford Lincoln,http://www.georgewallfordlincoln.com,700 Shrewsbury Avenue,Red Bank,NJ,07701,(732) 747-5400
All American Ford in Point Pleasant,http://www.weislederford.net,3306 Bridge Ave.,Point Pleasant,NJ,08742,(732) 892-4200
Larson Ford  Inc.,http://www.larsonford.net,1150 Ocean Ave. (Route 88),Lakewood,NJ,08701,(732) 363-8100
Freehold Ford,http://www.freeholdfordcars.com,3572 Route 9 South,Freehold,NJ,07728,(732) 462-3131
Tom's Ford,http://www.tomsfordkeyport.com,200 State Hwy 35,Keyport,NJ,07735,(732) 264-1600
All American Ford of Old Bridge,http://www.allamericanfordofoldbridge.com,3698 Route 9 South,Old Bridge,NJ,08857,(732) 242-0405
Downs Ford  Inc.,http://www.downsford.net,360 Hwy 37 East,Toms River,NJ,08753,(732) 349-2240
Haldeman Ford,http://www.haldemandirect.com,640 Route 130 and Hickory Corn,East Windsor,NJ,08520,(609) 448-0940
Malouf Ford - Lincoln  Inc.,http://www.malouffordinc.com,U.S. Highway 1 Commerce Blvd,North Brunswick,NJ,08902,(866) 886-9812
Bell Ford,http://www.bellmotorsdirect.com,1200 Route 27,Colonia,NJ,07067,(732) 388-6900
Liccardi Ford  Inc.,http://www.liccardifordnj.com,1615 Route 22,Watchung,NJ,07069,(908) 561-7500
Maplecrest Ford Lincoln,http://www.maplecrestfordlincolnunion.com,2800 Springfield Avenue,Union,NJ,07088,(908) 964-7700
Salerno Duane Ford  L.L.C.,http://www.salernoduaneford.net,267 Broad Street,Summit,NJ,07901,(908) 277-6700
Steven's Jersey City Ford,http://www.stevensjerseycityford.com,740 Route 440,Jersey City,NJ,07304,(201) 432-7272
Fullerton Ford,http://www.fullertonford.com,1044 U.S. Route 22 East,Somerville,NJ,08876,(800) 975-2500
Meadowland Ford Truck Sales Inc.,http://www.meadowlandfordnj.com,330 County Avenue,Secaucus,NJ,07094,(201) 617-0700
Ed Carney Ford Inc,http://www.edcarneyford.net,189 Route #10,East Hanover,NJ,07936,(973) 386-1771
Beyer Ford,http://www.beyerford.net,170 Ridgedale Ave.,Morristown,NJ,07960,(973) 644-3200
Quality Auto Mall,http://www.qualityautomallford.com,55 State Highway #17,Rutherford,NJ,07070,(201) 935-2400
Verner - Cadby Ford,http://www.verner-cadbyford.com,1240 Bloomfield Avenue,Fairfield,NJ,07004,(973) 575-0333
Fette Ford,http://www.fettefordsales.com,1137 Route 46,Clifton,NJ,07013,(973) 779-7000
Maplecrest Ford,http://www.maplecrestford.com,102 East Main Street,Mendham,NJ,07945,(800) 797-7259
Wayne Ford,http://www.wayneford1.com,444 Route 46,Wayne,NJ,07470,(973) 256-8800
Performance Ford Lincoln,http://www.performanceforddealer.com,906 Route 10 West,Randolph,NJ,07869,(973) 927-6700
Route 23 Auto Mall  LLC,http://www.route23ford.com,1301 Route 23,Butler,NJ,07405,(866) 838-0800
Mahwah Ford Sales & Service,http://www.mahwahford.com,55 Franklin Turnpike,Mahwah,NJ,07430,(201) 529-3200
Family Ford Inc.,http://www.familyfd.com,30 Rte New Jersey 183,Netcong,NJ,07857,(800) 737-0361
Haldeman Ford,http://www.haldemanauto.net,607 NJ State Highway 33,Trenton,NJ,08619,(800) 939-6659
Lucas Motor Company Inc,http://www.lucasmotorcompany.com,Route 130,Burlington,NJ,08016,(609) 386-3100
Lawrenceville Ford Lincoln,http://www.lawrencevillefl.com,2920 Brunswick Pike,Lawrenceville,NJ,08648,(609) 882-2900
Miller Ford Lincoln Sales,http://www.millerford.net,1596 Route 38,Lumberton,NJ,08048,(609) 261-7836
Medford Ford Inc,http://www.medfordfordinc.com,186 E. Route 70,Medford,NJ,08055,(800) 220-1163
Holman Ford Lincoln,http://www.holmanfordmapleshade.net,571 West Route 38,Maple Shade,NJ,08052,(800) 923-4973
Ditschman/Flemington Ford-Lincoln,http://www.ditschman.com,215 US 202/31,Flemington,NJ,08822,(800) 410-2189
Smith Motor Company Inc.,http://www.smithmtr.com,359 Route 31 South,Washington,NJ,07882,(908) 835-8100
Causeway Ford Lincoln,http://www.causewayfordmanahawkin.com,375 Route 72,Manahawkin,NJ,08050,(609) 597-8083
Lilliston Ford,http://www.lillistonford.net,833 North Delsea Drive,Vineland,NJ,08360,(888) 397-9172
Gentilini  Ford,http://www.gentiliniford.com,555 John S. Penn Boulevard,Woodbine,NJ,08270,(609) 861-0100
Magarino Ford  L.L.C.,http://www.magarino.com,375 Route 23 North,Sussex,NJ,07461,(973) 702-8000
Kindle Ford-Lincoln   Inc.,http://www.kindleautoplaza.net,525 Stone Harbor Blvd.,Cape May Court House,NJ,08210,(800) 678-8320
Chapman Ford Lincoln Sales,http://www.chapmanford.net,6744 Black Horse Pike,Egg Harbor Township,NJ,08234,(609) 646-2000
