Dealer Name,website,street,city,state,zip,phone
Brewster Ford,http://www.brewford.com,1024 Route 22,Brewster,NY,10509,(866) 227-2405
Ramp Motors Inc,http://www.rampmotors.com,4869 Nesconset Hwy.,Port Jefferson Station,NY,11776,(631) 473-1550
Lucas Ford,http://www.lucasfordlincolnsales.com,3245 Hortons Lane,Southold,NY,11971,(888) 860-9596
Riverhead Ford Lincoln,http://www.riverheadford.net,1419-23 Old Country Road,Riverhead,NY,11901,(631) 727-2200
Ford & Lincoln of Smithtown,http://www.fordofsmithtown.net,440 East Jericho Turnpike,Saint James,NY,11780,(631) 265-2340
Gabrielli Ford Truck Sales & Service,http://www.gabrielliford.com,3200 Horseblock Road,Medford,NY,11763,(631) 758-6200
Ford Lincoln of Huntington,http://www.fordlincolnofhuntington.net,333 West Jericho Turnpike,Huntington,NY,11743,(516) 496-9700
Arroway Ford,http://www.arrowayford.net,519 Bedford Rd.,Bedford Hills,NY,10507,(914) 241-1000
Steven's Ford,http://www.stevensfordbdc.com,507 Route 112,Patchogue,NY,11772,(631) 475-1133
Rye Ford Inc,http://www.ryeford.com,1151 Boston Post Road,Rye,NY,10580,(914) 967-6300
Sayville Ford,http://www.sayvillefordgiant.com,5686 Sunrise Highway Exit 50,Sayville,NY,11782,(888) 717-3147
Park Ford of Mahopac  Inc.,http://www.parkfordofmahopac.com,276 Route #6,Mahopac,NY,10541,(845) 628-8800
Pleasantville Ford Inc,http://www.pleasantvilleford.net,47 Pleasantville Road,Pleasantville,NY,10570,(914) 769-1800
Freedom Ford  Inc.,http://www.freedomfordny.com,420 Fishkill Avenue,Beacon,NY,12508,(845) 831-1400
Friendly Ford,http://www.friendlyfordofny.com,2250 South Road,Poughkeepsie,NY,12601,(845) 462-1900
Scarsdale Ford,http://www.scarsdaleford.net,887 Central Park Avenue,Scarsdale,NY,10583,(914) 472-9500
Smith Cairns Ford Lincoln,http://www.smith-cairns.com,900 Central Park Ave.,Yonkers,NY,10704,(914) 377-8100
Tower Ford Inc.,http://www.towerford.net,124A South Middle Neck Road,Great Neck,NY,11021,(516) 466-6400
Levittown Ford  LLC,http://www.fordoflevittown.com,3195 Hempstead Turnpike,Levittown,NY,11756,(855) 346-3558
City World Ford,http://www.cityworldford.net,3305 Boston Road,Bronx,NY,10469,(888) 573-5213
Hempstead Ford Lincoln,http://www.hempsteadford.net,301 N. Franklin,Hempstead,NY,11550,(516) 483-7200
Newins Bay Shore Ford Inc,http://www.newinsbayford.com,219 W Main St,Bay Shore,NY,11706,(631) 665-1300
Schultz Ford Lincoln  Inc.,http://www.schultzford.net,80 Route 304,Nanuet,NY,10954,(877) 724-8589
Hassett Ford-Lincoln,http://www.hassettford.com,3530 Sunrise Hwy.,Wantagh,NY,11793,(516) 785-7800
Schultz Ford W Haverstraw  Inc.,http://www.schultzfordwhaverstraw.com,27 N Route 9W,West Haverstraw,NY,10993,(845) 947-2500
McLean Ford  Inc.,http://www.mcleanford.net,Route 44 East,Millerton,NY,12546,(518) 789-4477
Storms Ford,http://www.stormsford.net,721 County Road 39A,Southampton,NY,11968,(631) 283-0790
Ford Lincoln of Queens Boulevard,http://www.fordofqueensboulevard.com,139-40 Queens Boulevard,Jamaica,NY,11435,(718) 657-8888
Koeppel Ford,http://www.koeppelfordofwoodside.com,57-01 Northern Blvd.,Woodside,NY,11377,(718) 885-8000
Crown Ford Inc,http://www.crownfordlynbrook.com,420 Merrick Rd,Lynbrook,NY,11563,(516) 599-0600
Gabrielli Truck Sales,http://www.gabriellitruckjamaica.com,153-20 South Conduit Avenue,Jamaica,NY,11434,(718) 977-7348
Marchese Ford  Inc.,http://www.marcheseford.com,14666 State Route 22,New Lebanon,NY,12125,(518) 766-5000
R C Lacy  Inc.,http://www.rclacyford.com,25 Maple Avenue,Catskill,NY,12414,(518) 943-4300
Crossroads Ford,http://www.crossroadsny.com,2351 Route 9 West,Ravena,NY,12143,(518) 756-4000
Fuccillo Ford of East Greenbush  Inc.,http://www.fuccilloford.info,634 Columbia Turnpike,East Greenbush,NY,12061,(518) 479-1000
Dana Ford Lincoln,http://www.danafordstatenisland.com,266 West Service Road,Staten Island,NY,10314,(718) 983-8700
Bay Ridge Ford,http://www.bayridgefordny.com,612 86th Street,Brooklyn,NY,11228,(347) 578-7900
Premier Ford Inc,http://www.premierfordinc.com,5001 Glenwood Rd,Brooklyn,NY,11234,(800) 317-7929
Leo Kaytes Ford Inc,http://www.Kaytes-Ford.com,145 Route 94,Warwick,NY,10990,(845) 986-1131
Healey Ford Lincoln  LLC,http://www.healeybrothersfordonline.com,2528 Rt 17M,Goshen,NY,10924,(845) 291-1998
Sunshine Ford-Lincoln  Inc.,http://www.sunshineford.net,40 Route 17k,Newburgh,NY,12550,(845) 561-3900
Phil's Ford,http://www.philsford.com,257 E Main Street,Port Jervis,NY,12771,(845) 856-7922
Fuccillo Ford  Inc.,http://www.fuccilloford.com,10409 US Route 11,Adams,NY,13605,(800) 235-8037
Davidson Ford  Inc.,http://www.davidsonfordinc.com,18621 US Route 11,Watertown,NY,13601,(315) 788-9400
F. X. Caprara Ford,http://www.fxford.com,84 Caprara Drive,Pulaski,NY,13142,(315) 298-5114
Caskinette's Lofink Motor Co.,http://www.caskinetteford.com,36788 Martin Street Rd,Carthage,NY,13619,(315) 493-1360
Nortz & Virkler Inc.,http://www.nortzandvirklerford.com,7468 South State Street,Lowville,NY,13367,(315) 376-6594
Orange Motors,http://www.orangeford.net,799 Central Ave,Albany,NY,12206,(518) 489-5414
Latham Motors Inc,http://www.lathamfordmotors.com,637 Columbia Street  Route 9R,Latham,NY,12110,(866) 337-3434
Metro Ford Sales Inc.,http://www.metrofordsales.com,3601 State Street,Schenectady,NY,12304,(518) 382-1010
Jack Byrne Ford,http://www.jackbyrneford.net,1003 Hudson River Road,Mechanicville,NY,12118,(518) 664-9841
Morris Ford  Inc.,http://www.morrisfordinc.com,872 Saratoga Road,Burnt Hills,NY,12019,(800) 252-0104
West - Herr Ford of Amherst  LLC,http://www.westherrfordofamherst.net,2600 Millersport Highway,Getzville,NY,14068,(716) 568-2000
Dave Smith Ford  LLC,http://www.davesmithfordonline.com,4045 Transit Road,Williamsville,NY,14221,(716) 634-2000
Basil Ford,http://www.basilford.com,1540 Walden Avenue,Cheektowaga,NY,14225,(716) 893-1000
DeLacy Ford,http://www.delacyford.net,3061 Transit Road,Elma,NY,14059,(716) 668-1200
