Dealer Name,website,street,city,state,zip,phone
King Ford,http://www.kingfordsales.com,2450 West Highway 64,Murphy,NC,28906,(828) 837-2121
Jacky Jones Ford of Hayesville,http://www.jjfordsales.com,1493 Highway 64 West,Hayesville,NC,28904,(828) 389-6325
Franklin Ford  Inc.,http://www.franklinford.net,4910 Sylva Road,Franklin,NC,28734,(800) 793-6737
Central Ford Inc.,http://www.centralfordinc.com,711 East Memorial Drive,Ahoskie,NC,27910,(252) 332-2133
Bill Clough Ford Inc.,http://www.billcloughford.com,227 US 13 North,Windsor,NC,27983,(252) 794-4176
Feyer Ford of Edenton  Inc.,http://www.feyerfordofedenton.net,504 Virginia Road,Edenton,NC,27932,(252) 482-2144
Lum's Ford  Inc.,http://www.lumsford.com,738 Highway 27 East,Albemarle,NC,28001,(704) 982-1122
Montgomery Motors,http://www.montgomerymotors.biz,214 South Main Street,Troy,NC,273713202,(800) 682-4017
Hilbish Motor Co,http://www.hilbishmotor.com,2600 S Cannon Blvd.,Kannapolis,NC,28083,(704) 938-3121
Beachum And Lee Ford  Inc.,http://www.beachumleeford.com,Highway 74 West,Wadesboro,NC,28170,(704) 694-4101
Parkway Ford Lincoln of Lexington,http://www.parkwayoflexington.net,98 New Highway 64 West,Lexington,NC,27295,(336) 243-2731
Cloninger Ford  Inc.,http://www.cloningerfordsales.com,511 Jake Alexander Blvd. South,Salisbury,NC,28147,(800) 948-5667
Asheboro Ford  Inc.,http://www.asheboroford.net,1602 East Dixie Dr.,Asheboro,NC,27203,(336) 633-9799
Freeman Ford  Inc.,http://www.freemanford.com,4802 Highway 49 North,Liberty,NC,27298,(336) 622-4256
Welford Harris Inc,http://www.welfordharrisford.com,1701 E 11th Street,Siler City,NC,27344,(919) 742-4178
Crescent Ford Inc,http://www.crescentfordinc.com,100 Old Winston Rd,High Point,NC,27265,(336) 869-2181
Green Ford Inc.,http://www.greenfordsuperstore.com,3800 West Wendover Avenue,Greensboro,NC,27407,(336) 292-8310
Piedmont Ford Truck Sales,http://www.piedmontford.com,412 South Regional Road,Greensboro,NC,27409,(336) 668-2401
Asheville Ford Lincoln,http://www.ashevilleford.net,611 Brevard Rd.,Asheville,NC,28806,(828) 253-2731
