Dealer Name,website,street,city,state,zip,phone
Lithia Ford Lincoln of Grand Forks,http://www.lithiafordgrandforks.com,2273 32nd Avenue S.,Grand Forks,ND,58201,(877) 331-9961
Vision Ford - Lincoln  LLC,http://www.visionfordwahpeton.com,1688 Two-Ten Drive,Wahpeton,ND,58075,(701) 642-5546
Wallwork Truck Center,http://www.wallworktrucks-ford.com,900 35th Street NW,Fargo,ND,58102,(701) 476-7000
Luther Family Ford,http://www.lutherfamilyford.net,3302 36th Street  SW,Fargo,ND,58104,(701) 282-2350
Eide Ford Lincoln,http://www.eide-ford.com,800 E Bismarck Exwy,Bismarck,ND,58504,(701) 222-3500
Bill Barth Ford,http://www.billbarthfordmandan.com,3205 Memorial Hwy,Mandan,ND,58554,(701) 663-9564
Bowman Sales & Service,http://www.bowmansales.net,12 South Main,Bowman,ND,58623,(701) 523-3257
Gregory Ford  Inc.,http://www.gregoryford.net,503 Division Avenue South,Cavalier,ND,58220,(701) 265-4115
Soeby Motor Company,http://www.soebyford.com,12th St. & Central   Box 7,Walhalla,ND,58282,(701) 549-3711
Marketplace Motors  Inc.,http://www.marketplacefordsales.com,332 Highway #2 West,Devils Lake,ND,58301,(800) 450-4663
Parkway Ford Sales  Inc.,http://www.parkway-ford1.com,2585 I-94 Business Loop East,Dickinson,ND,58601,(701) 225-5175
Hatton Ford Inc,http://www.hattonford.com,909 Railroad Ave,Hatton,ND,58240,(701) 543-3636
RZ Motors  Inc,http://www.rzfordmotor.com,603 2nd Ave. South,Hettinger,ND,58639,(701) 567-2474
R. M. Stoudt  Inc.,http://www.stoudtford.com,800 23rd. Street  S.W.,Jamestown,ND,58401,(800) 279-2886
Christie Motors Inc,http://www.christiemotors.com,Jct Hwys 1 & 5  Hc 2  Box 1a,Langdon,ND,58249,(701) 256-2182
Wolfe Ford  Inc.,http://www.wolfeford.com,15525 Highway 11,Lidgerwood,ND,58053,(701) 538-7337
Jim Weber Ford Inc.,http://www.jimweberford.com,Highway 13 West,Wishek,ND,58495,(701) 452-4288
Berube Ford Inc,http://www.berubeford.com,309 12th Ave West/ PO Box 671,Lisbon,ND,58054,(701) 683-4195
Westlie Motor Co,http://www.westliemotors.com,500 South Broadway,Minot,ND,58701,(701) 852-1354
M J McGuire Company,http://www.mjmcguire.com,Highway 3 South,Rugby,ND,58368,(701) 776-5211
Prairie Motor Inc,http://www.prairieford.com,224 Main St  Box 100,Stanley,ND,58784,(701) 628-2855
Stoudt - Ross Ford  Inc.,http://www.stoudtrossford.com,325 Winter Show Road,Valley City,ND,58072,(701) 845-1671
Red Rock Ford  Inc.,http://www.redrockfordwilliston.com,202 First Ave. East,Williston,ND,58801,(701) 577-2142
