Dealer Name,website,street,city,state,zip,phone
James Hodge Ford Inc.,http://www.hodgefordofidabel.com,1711 S.E. Washington,Idabel,OK,74745,(580) 286-7676
Riverside Autoplex of Poteau,http://www.riversideautoplexofpoteau.com,2100 S. Broadway,Poteau,OK,74953,(918) 647-2228
Sallisaw Ford Inc,http://www.sallisawford.com,2300 South Kerr Blvd. Hwy 59 South,Sallisaw,OK,74955,(888) 900-1079
Starr Motor Company,http://www.starrmotorco.com,601 South Second St,Stilwell,OK,74960,(918) 696-2274
Jack Bowker Ford Lincoln,http://www.jackbowkerford.com,2415 N. 14th Street,Ponca City,OK,74601,(800) 765-5534
Vance Ford Lincoln,http://www.vancefordmiami.net,510 N. Main,Miami,OK,74354,(800) 725-4431
Hinchey Ford Inc.,http://www.hincheyford.com,906 Highway 54 East,Guymon,OK,73942,(580) 338-8423
Ada Ford-Lincoln  Inc.,http://www.adafordinc.com,1600 Lonnie Abbott Blvd.,Ada,OK,74820,(580) 332-6161
Perry's Ford Inc,http://www.perrysford.com,205 East Highway Street,Holdenville,OK,74848,(888) 307-3779
Wilmes Ford-Lincoln  Inc.,http://www.wilmesford.com,108 N. Veterans Drive,Altus,OK,73521,(580) 482-0617
Washburn Ford Lincoln,http://www.washburnford.net,1819 West Oklahoma Blvd.,Alva,OK,73717,(580) 327-1296
Billingsley Ford  LLC,http://www.fordok.com,3804 West Broadway,Ardmore,OK,73401,(580) 226-3300
Woody Motor Company Inc,http://www.woodyford.com,201 S. 2nd Street,Madill,OK,73446,(580) 795-3323
Stuteville Ford of Atoka  LLC,http://www.stutevilleford.net,1601 S. Mississippi Street,Atoka,OK,74525,(580) 889-3349
Doenges Ford,http://www.doengesfordonline.com,1901 SE Washington Blvd,Bartlesville,OK,74006,(918) 333-0900
Bolin Ford  Inc.,http://www.bolinford.com,512 North Main,Bristow,OK,74010,(918) 367-3373
Quality Ford  Inc.,http://www.qualityfordok.net,2300 East Main,Cushing,OK,74023,(918) 225-3807
Harlan Ford  Inc.,http://www.harlanmotor.com,830 East Fairgrounds Road,Okmulgee,OK,74447,(918) 756-2075
Bob Hurley Ford,http://www.bobhurleyfordoftulsa.com,745 West 51st,Tulsa,OK,74107,(918) 445-6700
Hudiburg Ford  LLC,http://www.hudiburgford.com,216 N. Hwy 18,Chandler,OK,74834,(405) 258-1082
Matthews Ford,http://www.matthewsfordbrokenarrow.com,1101 Southwest Expressway Drive,Broken Arrow,OK,74012,(918) 251-3673
Bill Knight Ford,http://www.billknightford.net,9607 S. Memorial,Tulsa,OK,74133,(918) 526-2400
Joe Cooper Ford of Tulsa,http://www.tulsafordsales.com,3400 South Sheridan,Tulsa,OK,74145,(888) 680-0569
Jack Kissee Ford Inc.,http://www.jackkisseeford.us,760 S Lynn Riggs,Claremore,OK,74017,(918) 341-0101
Roberts Ford Lincoln  LLC,http://www.robertsfordpryor.com,4501 S. Mill,Pryor,OK,74361,844-698-0711
Joe Cooper Ford of Shawnee,http://www.joecooperford.info,2600 N. Harrison,Shawnee,OK,74804,(877) 920-5096
Charles Allen Ford  Inc.,http://www.charlesallenford.com,1717 S.  4th St,Chickasha,OK,73018,(800) 288-1770
Reynolds Ford,http://www.reynoldsfordnorman.com,825 North Interstate Drive,Norman,OK,73069,(877) 672-1663
McKinsey Motors,http://www.mckinseymotors.com,1415 Highway 183 S.,Clinton,OK,73601,(580) 323-0259
Brown Ford  Inc.,http://www.brownfordinc.com,700 N. Glenn English,Cordell,OK,73632,(580) 832-3313
Cummins Ford Lincoln  Inc.,http://www.cumminsfordweatherford.com,4000 Carriage Way,Weatherford,OK,73096,(580) 772-3319
Red Johnson Ford  Inc.,http://www.redjohnsonford.com,Highway 34-73,Hammon,OK,73650,(580) 473-2241
Barber-Dyson Ford Lincoln,http://www.barberdysonford.net,501 East Highway 66,Elk City,OK,73644,(580) 225-0450
Bill Knight Ford of Stillwater,http://www.Billknightfordofstillwater.com,4405 W. 6th Street,Stillwater,OK,74074,(405) 372-7144
Billingsley Ford Lincoln of Duncan,http://www.billingsleyfordduncan.com,3505 North Highway 81,Duncan,OK,73533,(800) 850-5501
Red River Ford Lincoln,http://www.redriverforddurant.com,402 Westside Drive,Durant,OK,74701,(580) 924-9458
Joe Cooper Ford Lincoln of Edmond,http://www.joecooperfordedmond.net,600 W. Memorial Rd.,Oklahoma City,OK,73114,(405) 475-9000
Metro Ford of OKC,http://www.metrofordofokc.com,2800 West I-44 Service Road,Oklahoma City,OK,73112,(405) 896-7555
Reynolds Ford of OKC  Inc.,http://www.myreynoldsfordofokc.com,7320 NW Expressway,Oklahoma City,OK,73132,(877) 728-2411
Vance Country Ford.,http://www.vancecountryford.net,5322 S.Division,Guthrie,OK,73044,(405) 282-2727
David Stanley Ford of Midwest City  LLC,http://www.davidstanleyford.net,6601 S.E. 29th,Midwest City,OK,73110,(405) 733-1611
Rush Truck Center  Oklahoma City,http://www.rushtruckcenterokcity.com,8700 West I-40,Oklahoma City,OK,73128,(405) 782-3510
Bob Moore Ford,http://www.bmooreford.com,8948 South I-35 Service Road,Oklahoma City,OK,73149,(405) 616-3673
Joe Cooper Ford of Yukon,http://www.joecooperford.net,1780 Garth Brooks Blvd,Yukon,OK,73099,(888) 680-3540
Mainer Ford,http://www.mainerfordofokarche.com,Highway 81 South,Okarche,OK,73762,(405) 263-7242
Diffee Ford Lincoln,http://www.diffeeford.net,1681 East I-40,El Reno,OK,73036,(405) 262-4546
Boeckman Ford  Inc.,http://www.boeckmanford.net,1510 South Main,Kingfisher,OK,73750,(405) 375-4134
England Ford Inc,http://www.englandford.net,111 N Broadway,Hinton,OK,73047,(405) 542-3242
Doug Gray Ford  Inc.,http://www.douggrayford.com,800 N.E. Highway 66,Sayre,OK,73662,(580) 928-3369
Stevens Ford,http://www.stevensfordenid.com,3101 West Garriott Road,Enid,OK,73703,(580) 237-3040
Eufaula Ford  Inc.,http://www.eufaulafordinc.com,6th And Selmon Road,Eufaula,OK,74432,(918) 689-7767
Henryetta Ford,http://www.henryettaford.com,821 East Main,Henryetta,OK,74437,(918) 652-0990
Dunn Ford Company,http://www.dunnfordcompany.com,203 W. Main Street,Stigler,OK,74462,(888) 839-6847
Freedom Ford,http://www.freedomfordmcalester.com,720 S. George Nigh Expressway,Mcalester,OK,74501,(918) 423-2800
Vinton Baker Ford  Inc.,http://www.vintonbakerford.net,205 South Main,Fairview,OK,73737,(580) 227-4405
Noble County Tractor Co Inc,http://www.noblecountytractor.com,629 Elm Street,Perry,OK,73077,(580) 336-9123
Seminole Ford,http://www.seminolefordok.com,2222 North Milt Phillips Avenue,Seminole,OK,74868,(405) 382-2222
Ed Wallace Ford,http://www.edwallaceford.com,1700 East Jackson St.,Hugo,OK,74743,(580) 326-6448
Billingsley Ford Lincoln of Lawton,http://www.billingsleyfordoflawton.net,8209 NW Quanah Parker Trailway,Lawton,OK,73505,(580) 536-3325
Patriot Ford,http://www.patriotfordofok.com,2805 North 9th Street,Purcell,OK,73080,(405) 527-6484
Seth Wadley Ford Lincoln,http://www.sethwadleyford.net,333 North Butler,Pauls Valley,OK,73075,(800) 430-6466
Green Country Ford Inc.,http://www.green-country-ford.com,225 W Dwain Willis Avenue,Vinita,OK,74301,(918) 256-7525
James Hodge Ford Lincoln  Inc.,http://www.jameshodgefordlm.com,1200 North Main Street,Muskogee,OK,74401,(855) 920-9973
Stuteville Ford of Tahlequah  LLC,http://www.stuteville.net,145 George Guess Road,Tahlequah,OK,74464,(918) 456-6143
McKay Ford Lincoln,http://www.mckayford.com,3119 Williams Avenue,Woodward,OK,73801,(580) 256-6465
