Dealer Name,website,street,city,state,zip,phone
Gentry Ford Sales  Inc.,http://www.gentryfordlincoln.com,1802 Southwest 4th Avenue,Ontario,OR,97914,(541) 889-9694
Roberson's Albany Ford,http://www.robersonalbanyford.net,1920 Pacific Blvd. SW,Albany,OR,97321,(541) 926-5555
Wilson Motors,http://www.wilsonmotorsonline.net,1105 Nw 5th Street,Corvallis,OR,97330,(541) 752-4201
Hillyer's Stayton Ford  Inc.,http://www.hillyerstaytonford.com,11361 Mill Creek Road SE,Aumsville,OR,97325,(503) 769-4747
Skyline Ford,http://www.skylineford.net,2510 Commercial St Se,Salem,OR,97302,(503) 581-2411
Mid Valley Ford,http://www.midvalleyfordoforegon.com,201 N. E. Polk Station Road,Dallas,OR,97338,(503) 623-8361
Butler Ford,http://www.butlerford.net,1977 Highway 99 North,Ashland,OR,97520,(800) 627-7720
Crater Lake Ford LLC,http://www.craterlakemotors.com,2611 Biddle Road,Medford,OR,97504,(541) 773-3673
Astoria Ford  Inc.,http://www.astoriaford.net,1809 SE Ensign Lane,Warrenton,OR,97146,(503) 325-6411
Hillyer's Mid - City Ford,http://www.hillyersford.net,3000 Hillyer Lane,Woodburn,OR,97071,(503) 981-4747
Canby Ford Inc,http://www.canbyfordinc.com,24315 South Highway 99E,Canby,OR,97013,(503) 266-2097
Damerow Ford,http://www.damerowford.com,12325 SW Canyon Rd.,Beaverton,OR,97005,(800) 732-8633
Landmark Ford Lincoln,http://www.landmarkmail.com,12000 S W 66th Ave,Tigard,OR,97223,(888) 365-3925
Dick's MacKenzie Ford,http://www.mackenziemotors.com,4151 S. E. Tualatin Valley Hwy,Hillsboro,OR,97123,(800) 783-0863
Northside Ford Truck Sales  Inc.,http://www.northsideford.net,6221 N E Columbia Blvd.,Portland,OR,97218,(503) 282-7777
Courtesy Ford Lincoln,http://www.courtesyfordportland.com,1313 NE 122nd,Portland,OR,97230,(888) 883-6737
Doherty Ford,http://www.doherty-ford.com,4223 Pacific Ave,Forest Grove,OR,97116,(503) 357-3114
Newberg Ford,http://www.fordofnewberg.com,3900 Portland Road,Newberg,OR,97132,(503) 538-2171
Gresham Ford,http://www.greshamfordonline.com,1999 East Powell Boulevard,Gresham,OR,97080,(503) 665-0101
St. Helens Ford,http://www.sthelensfordoregon.com,57895 South Columbia River Highway,Warren,OR,97053,(503) 397-5454
Suburban Ford Inc,http://www.suburbanfordinc.com,37000 Highway 26,Sandy,OR,97055,(503) 668-5511
Chuck Colvin Auto Center,http://www.Colvinford.com,1925 North Highway 99w,Mcminnville,OR,97128,(800) 223-5099
Robberson Ford Sales  Inc.,http://www.robbersonford.net,2100 N.E. Third Street,Bend,OR,97701,(541) 382-4521
Wright Ford Inc,http://www.wrightfordinc.net,1835 So. Highway 97,Redmond,OR,97756,(541) 548-2138
Mock Ford Sales,http://www.mockfordsales.com,913 S E Sixth St.,Grants Pass,OR,97526,(541) 476-6656
Burns Ford  Inc.,http://www.burnsfordinc.com,188 N Broadway,Burns,OR,97720,(541) 573-6014
Tower Ford,http://www.towerford.com,505 South Broadway,Coos Bay,OR,97420,(541) 267-2118
Legacy Ford Lincoln,http://www.legacyfordlagrande.com,2906 Island Ave.,La Grande,OR,97850,(541) 963-2161
Kendall Ford,http://www.kendallford.com,344 Goodpasture Island Rd,Eugene,OR,97401,(855) 603-2984
Johnston Motor Co,http://www.johnstonmotorcompany.com,2150 Hwy. 101,Florence,OR,97439,(541) 997-3475
Tom Denchel Ford Country,http://www.tdfordcountry.com,555 South Highway #395,Hermiston,OR,97838,(800) 345-3068
Ray Schultens Ford Inc,http://www.rayschultensford.com,2400 West 6th Street,The Dalles,OR,97058,(800) 934-9835
Lithia Ford of Klamath Falls,http://www.lithiafordklamathfalls.com,2833 Washburn Way,Klamath Falls,OR,97603,(877) 402-7785
Hall Motor Company,http://www.hallmotorcompanyford.com,351 North O. Street,Lakeview,OR,97630,(541) 947-4965
TS&S Ford,http://www.tsandsfordmadras.com,1733 SW Highway #97,Madras,OR,97741,(541) 475-7204
Power Ford Lincoln,http://www.powerfordsales.com,1107 N. Coast Hwy,Newport,OR,97365,(800) 516-3673
Lithia Roseburg Auto Center,http://www.lithiafordofroseburg.com,1650 N.E. Stephens,Roseburg,OR,97470,(877) 332-6354
Tillamook Motor Company,http://www.tillamookmotors.net,501 Main Avenue,Tillamook,OR,97141,(503) 842-4475
