Dealer Name,website,street,city,state,zip,phone
Satcher Motor Company,http://www.satchermotorcompany.com,1850 Jefferson Davis Highway,Graniteville,SC,29829,(803) 593-3700
Herlong Ford  Inc.,http://www.herlongford.com,Hwy 25 South,Edgefield,SC,29824,(803) 637-3151
Jim Satcher  Inc.,http://www.jimsatcher.net,511 Calhoun Street,Johnston,SC,29832,(803) 275-2576
Edwards Auto Sales Co Inc,http://www.edwardsautosales.net,3440 Blue Ridge Blvd.,Walhalla,SC,29691,(864) 638-3631
O. C. Welch Ford Lincoln   Inc.,http://www.ocwelchfordhardeeville.com,4920 Independence Blvd,Hardeeville,SC,29927,(843) 288-0100
Lake Keowee Ford,http://www.lakekeoweeford.com,859 By-Pass 123,Seneca,SC,296784755,(864) 882-2448
Anderson Ford,http://www.andersonfordofsc.com,3900 Clemson Blvd,Anderson,SC,29621,(864) 225-4151
Fort Mill Ford,http://www.ftmillford.com,801 Gold Hill Road,Fort Mill,SC,29708,(800) 547-5450
Burns Ford of York,http://www.burnsfordofyork.com,60 North Congress Street,York,SC,29745,(803) 684-4225
Clinton Family Ford of Rock Hill  Inc.,http://www.clintonfamilyford.net,1884 Canterbury Glen Lane,Rock Hill,SC,29730,(803) 366-3181
George Coleman Ford,http://www.georgecolemanford.net,47 Plaza Drive,Travelers Rest,SC,29690,(864) 834-6060
Roger Shiflett Ford,http://www.rogershiflettford.net,714 Chesnee Highway - Hwy 11,Gaffney,SC,29341,(864) 489-4764
Vic Bailey Ford Lincoln,http://www.vicbaileyford.com,501 East Daniel Morgan Avenue,Spartanburg,SC,29302,(864) 585-3600
D & D Motors  Inc.,http://www.ddmotorsgreersc.com,13655 East Wade Hampton Blvd.,Greer,SC,29651,(888) 253-5950
Burns Ford,http://www.burnsford.com,2001 Charlotte Hwy 521,Lancaster,SC,29720,(888) 374-5161
Bennettsville Ford,http://www.bennettsvilleford.com,456 Highway 38 South,Bennettsville,SC,29512,843-479-2844
Fairway Ford Inc,http://www.fairwayford.net,2323 Laurens Road,Greenville,SC,29607,(864) 242-5060
Carolina Ford,http://www.thecarolinaford.com,103 Church Street,Honea Path,SC,29654,(864) 369-7376
Benson Ford  Inc.,http://www.bensonford.net,4701 Calhoun Memorial Highway,Easley,SC,29640,(864) 855-5383
Haselden Brothers  Inc.,http://www.hbford.com,117 East Broad Street,Hemingway,SC,29554,(888) 480-9605
Tidelands Ford Lincoln,http://www.tidelands.net,9387 Ocean Highway,Pawleys Island,SC,29585,843237Fordx3673
Gibbes Ford,http://www.fordoforangeburg.net,2840 Saint Matthews Road,Orangeburg,SC,29118,(803) 534-2010
B & B Ford  Inc.,http://www.bbfordsales.com,1105 Dunbarton Blvd.,Barnwell,SC,29812,(803) 259-5524
Whittle Motor Co Inc,http://www.whittlemotorco.com,12 East Main Street,Williston,SC,29853,(803) 266-7446
Family Ford  Inc.,http://www.familyfordstgeorge.com,5866 West Jim Bilton Boulevard,Saint George,SC,29477,(843) 563-2341
George Ballentine Ford Lincoln   Inc.,http://www.ballentineford.com,1305 Bypass 72 NE,Greenwood,SC,29649,(864) 223-4351
Firmin Ford  Inc.,http://www.firminford.com,921 East Main,Laurens,SC,29360,(864) 682-3111
Raceway Ford,http://www.racewayforddarlington.net,701 South Governor Williams Hi,Darlington,SC,29532,(843) 393-5000
Raceway Ford of Hartsville,http://www.racewayautoofhartsville.com,1504 South Fifth Street,Hartsville,SC,29550,(843) 332-0185
Mike Reichenbach Ford Lincoln  Inc.,http://www.mikereichenbachfordflorence.com,600 North Coit Street,Florence,SC,29501,(800) 293-9574
Palmetto Ford Lincoln,http://www.palmetto-ford.com,1625 Savannah Hwy,Charleston,SC,29407,(843) 571-3673
Jones Ford  Inc.,http://www.jonesfordnorthcharleston.com,5757 Rivers Avenue,North Charleston,SC,29406,(843) 744-3311
Summerville Ford,http://www.summervilleford.com,9700 Dorchester Road,Summerville,SC,29485,(843) 873-3550
Ravenel Ford  Inc.,http://www.ravenelford.net,6340 Savannah Hwy. P.O Box 217,Ravenel,SC,29470,(843) 889-2241
Berkeley Ford,http://www.berkeleyfordmonckscorner.com,1511 Highway 52,Moncks Corner,SC,29461,(843) 761-8284
Dick Smith Ford,http://www.dicksmith-ford.com,7201 Garners Ferry Rd.,Columbia,SC,29209,(803) 254-4000
Classic Ford Lincoln of Columbia  Inc.,http://www.classicfordcolumbia.net,177 Greystone Boulevard,Columbia,SC,29210,(803) 779-3673
Jim Hudson Ford,http://www.jimhudsonfordlexingtonsc.com,1201 West Main Street,Lexington,SC,29072,(803) 359-4114
Lugoff Ford,http://www.fordoflugoff.net,979 Highway 1 South,Lugoff,SC,29078,(803) 438-6124
Conway Ford Inc.,http://www.conwayfordinc.com,2393 Highway 501 W,Conway,SC,29526,(843) 365-5596
Beach Ford Lincoln  Inc.,http://www.beachfordinc.com,851 Jason Boulevard,Myrtle Beach,SC,29577,(843) 626-3666
Cromleys Inc,http://www.cromleysford.com,102 Greenwood Hwy,Saluda,SC,29138,(864) 445-2107
Al Bilton Ford  Inc.,http://www.albiltonford.com,7621 Old State Road,Holly Hill,SC,29059,(803) 496-3150
Santee Ford,http://www.santeeford.net,2601 Paxville Highway,Manning,SC,29102,(803) 433-5400
McLaughlin Ford,http://www.mclaughlinford.com,950 North Main Street,Sumter,SC,29150,(888) 534-1220
Walterboro Motor Sales,http://www.walterboromotorsales1.com,902 Bells Highway,Walterboro,SC,29488,(843) 549-5581
