Dealer Name,website,street,city,state,zip,phone
Vermillion Ford Inc.,http://www.vermillionford.biz,Highway 101 West Cherry,Vermillion,SD,57069,(605) 624-8624
Boyer Ford Trucks Sioux Falls  Inc.,http://www.boyersiouxfalls.com,2101 E. Benson Road,Sioux Falls,SD,57104,(605) 336-6100
Sioux Falls Ford,http://www.siouxfallsford.net,4101 West 41 St,Sioux Falls,SD,57106,(605) 361-0361
Country Ford  Inc.,http://www.tyndallford.com,30320 Ford Ave,Tyndall,SD,57066,(605) 589-3362
Pierson Ford Lincoln  Inc.,http://www.piersonfordlincoln.com,701 Auto Plaza Drive,Aberdeen,SD,57401,(605) 225-3720
Groton Ford  LLC,http://www.grotonford.net,1320 N. Broadway,Groton,SD,57445,(605) 397-2311
Scott Peterson Motors Inc,http://www.scottpetersonmotor.com,30 Fifth Ave,Belle Fourche,SD,57717,(605) 892-2643
White's Canyon Motors,http://www.whitescanyonfordspearfish.com,2751 Colorado Blvd.,Spearfish,SD,57783,(605) 642-4400
Scott Peterson Motors of Sturgis  LLC,http://www.scottpetersonmotorsofsturgis.net,1 Ford Place,Sturgis,SD,57785,none listed
Beadle Ford  Inc.,http://www.beadleford.net,5023 4th Avenue,Bowdle,SD,57428,(605) 285-6202
Einspahr Auto Plaza  Inc.,http://www.e-autoplaza.net,2020 8th St S,Brookings,SD,57006,(605) 692-6106
Prostrollo Auto Plaza Co.,http://www.prostrolloautoplaza.com,1001 S Washington Ave/PO Box 447,Madison,SD,57042,(605) 256-9111
Willrodt Ford  Inc.,http://www.willrodtfordinc.com,Highway 16 East,Chamberlain,SD,57325,(605) 234-5527
Watertown Ford,http://www.watertownford.net,1600 9th Avenue SE,Watertown,SD,57201,(605) 886-5844
O'Keefe Ford,http://www.okeefeford.com,324 Calumet Avenue S.E.,De Smet,SD,57231,(605) 854-9146
Pioneer Garage  Inc.,http://www.pioneergarage.net,Hiways 14 & 47,Highmore,SD,57345,(605) 852-2122
Iverson Ford,http://www.iversonford.com,101 Second Street SW,Huron,SD,57350,(605) 352-6464
Beadle's Sales,http://www.beadlessales.com,1404 East Grand Crossing,Mobridge,SD,57601,(605) 845-3671
McCormick Motors  Inc.,http://www.mccormickmotorsford.com,140 North Nebraska,Salem,SD,57058,(605) 425-2442
Bair Ford Sales   Inc.,http://www.bairfordsales.com,420 East Bennett Avenue,Martin,SD,57551,(605) 685-6646
Milbank Ford  Inc.,http://www.milbankford.net,502 Madison Street,Milbank,SD,57252,(605) 432-4525
Vern Eide Ford Lincoln,http://www.verneideford.com,2300 North Main Street,Mitchell,SD,57301,(605) 996-5614
Murdo Ford  Ltd.,http://www.murdof-m.com,219 S Main St,Murdo,SD,57559,(605) 669-2391
Lamb Motor Co.  Inc.,http://www.lambmotorco.com,109 Main Street,Onida,SD,57564,(800) 952-2222
Gateway Ford Lincoln,http://www.gatewayfordofpierre.com,518 East Sioux Avenue,Pierre,SD,57501,(605) 224-7378
Parker Ford Inc.,http://www.parkerfordautos.com,1075 East Sixth Street,Parker,SD,57053,(605) 297-4851
Philip Motor Inc,http://www.philipmotor.net,101 W. Oak St.,Philip,SD,57567,(605) 859-2585
Platte Ford  Inc.,http://www.platteford.net,West Highway 44,Platte,SD,57369,(605) 337-3328
McKie Ford Inc,http://www.mckieford.net,2010 East Mall Drive,Rapid City,SD,57701,(605) 348-1400
Shawn Chase Ford,http://www.shawnchasefords.net,714  South Main Street,Redfield,SD,57469,(605) 472-1633
Lewis and Clark Ford Lincoln INC.,http://www.lewisandclarkfordyankton.com,316 Capital Street,Yankton,SD,57078,(605) 664-2000
Harry K Ford Store  Inc.,http://www.harrykford.com,West Hwy #18,Winner,SD,57580,(605) 842-2505
