Dealer Name,website,street,city,state,zip,phone
Sharp Motor Company Inc.,http://www.sharpmotor.com,1516 W. College Street,Pulaski,TN,38478,(931) 363-2533
Moss Motor Co Inc,http://www.mossmotorco.net,1000 Cedar Avenue,South Pittsburg,TN,37380,(877) 837-7114
King Cotton Ford,http://www.kingcottonford.com,965 Highway 51 North,Covington,TN,38019,(901) 476-7111
MHC Ford-Memphis,http://www.southlandtruckcenter.com,3331 One Place,Memphis,TN,38116,(901) 333-7220
AutoNation Ford Memphis,http://www.autonationford-memphis.com,2515 Mt Moriah Rd,Memphis,TN,38115,(901) 362-6364
AutoNation Ford Lincoln Wolfchase,http://www.autonationfordlincoln-wolfchase.com,7925 Highway 64,Memphis,TN,38133,(901) 382-5555
Homer Skelton Ford of Millington  LLC,http://www.hsfordofmillington.com,9030 Highway 51 North,Millington,TN,38053,(901) 873-3673
Landers Ford,http://www.landersfordofcollierville.com,2082 West Poplar Avenue,Collierville,TN,38017,(901) 854-3600
Larry Hill Ford,http://www.larryhillfordclevelandtn.com,2496 South Lee Highway,Cleveland,TN,37311,855-534-1919
Lee - Smith Inc,http://www.leesmithford.com,2600 Eighth Avenue,Chattanooga,TN,37407,(423) 622-4161
Mtn. View Ford Lincoln,http://www.mtnviewford.com,301 E. 20th St.,Chattanooga,TN,37408,(423) 756-1331
Marshal Mize Ford  Inc.,http://www.marshalmizeford.net,5348 Hwy 153,Chattanooga,TN,37343,(423) 875-2023
Tracy Langston Ford  LLC,http://www.tracylangstonfordllc.com,3264 Tom Austin Hwy.,Springfield,TN,37172,(615) 382-7950
Miracle Ford Inc,http://www.miraclefordtn.com,1394 Nashville Pike,Gallatin,TN,37066,(615) 452-5267
Jenkins & Wynne Ford Lincoln,http://www.jenkinsandwynnefordclarksville.com,2655 Trenton Rd.,Clarksville,TN,37040,(931) 538-7000
Weakley County Motors  Inc.,http://www.weakleycomotors.com,841 N Lindell,Martin,TN,38237,(731) 587-3141
Jarnagin Motor Co,http://www.jarnaginford.com,7405 Rutledge Pike,Rutledge,TN,37861,(865) 828-5215
Joe Mahan Ford Inc,http://www.joemahanfordparis.com,211 Memorial Drive,Paris,TN,38242,(731) 642-4711
Short-Redmond Ford of LaFollette  LLC,http://www.short-redmondford.net,1916 Jacksboro Pike,La Follette,TN,37766,(423) 562-2251
Jones Ford,http://www.jones-ford.com,510 Florence Road,Savannah,TN,38372,(731) 925-4018
Erwin Motors Inc,http://www.erwinmotors.com,901 North Main,Erwin,TN,37650,(423) 743-7148
Grindstaff Ford,http://www.grindstafffordinc.com,2214 West Elk Avenue,Elizabethton,TN,37643,(423) 542-4136
Gateway Ford Lincoln,http://www.gatewayfordgreeneville.com,1055 W. Andrew Johnson Hwy.,Greeneville,TN,37745,(800) 637-2702
Ted Russell Ford Lincoln,http://www.tedrussellford.net,8551 Kingston Pike,Knoxville,TN,37919,865-693-7611
Lance Cunningham Ford,http://www.lcunninghamford.com,4101 Clinton Highway,Knoxville,TN,37912,(866) 591-3943
Lenoir City Ford  Inc.,http://www.lenoircityford.com,775 Highway 321 North,Lenoir City,TN,37771,(800) 515-4209
Mcnelly-Whaley Motor Co  Inc,http://www.mcnellywhaleyfordlincoln.com,750 Dolly Parton Pkwy,Sevierville,TN,37862,865-453-2833
Ray Varner Ford  LLC,http://www.rayvarnerford.net,2026 N. Charles G. Seivers Blvd.,Clinton,TN,37716,(865) 457-0704
Bolivar Motor Company  Inc.,http://www.bolivarford.net,10140 Highway 64,Bolivar,TN,38008,(800) 706-1342
Lonnie Cobb Ford,http://www.lonniecobbford.net,1618 Highway 45 North,Henderson,TN,38340,(731) 989-2121
Golden Circle Ford Lincoln  Inc.,http://www.goldencircleford.net,1432 US Highway 45 Bypass,Jackson,TN,38305,(731) 554-3673
Ford Lincoln of Franklin,http://www.fordlincolnoffranklin.net,1129 Murfreesboro Rd.,Franklin,TN,37064,(615) 645-0729
Mid - Tenn Ford Truck Sales Inc.,http://www.midtennfordtrucks.com,1319 Foster Avenue,Nashville,TN,37210,(800) 476-5184
Two Rivers Ford,http://www.2riversford.com,76 Belinda Parkway,Mount Juliet,TN,37122,(800) 900-1000
Town & Country,http://www.townandcountryfordsales.com,101 Anderson Lane,Madison,TN,37115,(615) 865-1280
Ford of Murfreesboro,http://www.fordofmurfreesboro.net,1550 N.W. Broad St.,Murfreesboro,TN,37129,(888) 505-4898
Bates Ford,http://www.burchettfordsales.com,1673 West Main Street,Lebanon,TN,37087,(615) 444-8224
