Dealer Name,website,street,city,state,zip,phone
Center Motor Company,http://www.centermotorcompany.com,816 Hurst Street,Center,TX,75935,(800) 256-4750
Excel Ford Lincoln  LP,http://www.excelford.net,2228 S. E. Loop 59,Carthage,TX,75633,(903) 693-3821
Sabine River Ford,http://www.sabineriverfordoforange.com,1601 Green Avenue,Orange,TX,77630,(409) 883-3581
XIT Ford,http://www.xitfordtrucks.com,Highway 54 East,Dalhart,TX,79022,(806) 244-8511
Blake Utter Ford,http://www.blakeutterford.net,215 Hwy 75 North,Denison,TX,75020,(800) 481-9321
Bob Utter Ford Lincoln,http://www.bobutterford.net,2525 Texoma Parkway,Sherman,TX,75090,(800) 259-3560
Gruver Ford,http://www.gruverford.com,531 Main Street,Gruver,TX,79040,(806) 733-2431
Paris Ford Lincoln  Inc.,http://www.parisfordlincoln.com,2020 N.E. Loop 286,Paris,TX,75460,(903) 784-2566
Arrow Ford Inc,http://www.arrowford.net,4001 South First Street,Abilene,TX,79605,(866) 478-4890
Lawrence Hall Ford  Inc.,http://www.westtexasford.net,2016 Commercial Avenue,Anson,TX,79501,(800) 315-7436
Bowden Ford Co.,http://www.bowdenford.com,1300 E Main Street,Alice,TX,78332,(361) 664-9541
Sames Kingsville Ford,http://www.samesfordkingsville.com,2501 South US Highway 77,Kingsville,TX,78363,(361) 592-2661
Access Ford Lincoln of Corpus Christi,http://www.accessford.com,3680 IH69 Access Rd.,Corpus Christi,TX,78410,(361) 265-3673
Ron - Carter Ford Inc,http://www.roncarterford.net,3005 Fm 528,Alvin,TX,77511,(281) 331-8111
Big Star Ford,http://www.bigstarfordmanvel.com,17717 S. Freeway,Manvel,TX,77578,(713) 960-9800
McRee Ford  Inc.,http://www.mcreeford.net,2800 Gulf Freeway,Dickinson,TX,77539,(281) 337-1529
AutoNation Ford Gulf Freeway,http://www.autonationford-gulffreeway.com,12227 Gulf Freeway,Houston,TX,77034,(713) 371-4000
Mac Haik Ford,http://www.machaikfordpasadena.net,4242 East Sam Houston Parkway South,Pasadena,TX,77505,(281) 604-3673
Cook Ford,http://www.cookfordtx.com,2600 Palmer Hwy.,Texas City,TX,77590,(409) 948-2541
Gulf Coast Ford,http://www.gulfcoastfords.com,3000 North 288 Freeway,Angleton,TX,77515,(713) 422-7200
Russell & Smith Ford Inc.,http://www.buyrussellsmithford.com,3440 S Loop West,Houston,TX,77025,(888) 463-8919
Classic Ford,http://www.classicfordofgalveston.net,7700 Broadway,Galveston,TX,77554,(409) 744-0481
Helfman Ford Inc.,http://www.helfmanford.net,12220 Southwest Freeway,Stafford,TX,77477,(888) 266-5042
Sterling McCall Ford,http://www.sterlingmccallfordhouston.com,6445 Southwest Freeway,Houston,TX,77074,(281) 588-5000
Chastang Ford,http://www.chastangfordhouston.com,6200 N. Loop East,Houston,TX,77026,(713) 678-5000
Tommie Vaughn Ford,http://www.tommievaughnmotors.com,1201 North Shepherd Drive,Houston,TX,77008,(713) 869-4661
Yaklin Ford,http://www.yaklinford.com,1200 North Highway 288-B,Richwood,TX,77531,(979) 265-4224
Tri State Ford,http://www.amarillotristateford.com,1900 I-40 East,Amarillo,TX,79103,(806) 376-4911
Gene Messer Ford of Amarillo,http://www.genemesserfordamarillo.com,3400 Soncy Street,Amarillo,TX,79119,(806) 355-7471
All Star Family Ford,http://www.allstarford.us,13301 Interstate 27,Amarillo,TX,79119,(806) 622-3400
Stanley Ford - Andrews,http://www.stanleyfordandrews.com,1700 N Hwy 385,Andrews,TX,79714,(432) 524-3673
Commercial Motor Company,http://www.commercialmotorco.com,160 S. Commercial,Aransas Pass,TX,78336,(361) 758-5361
AutoNation Ford Corpus Christi,http://www.autonationford-corpuschristi.com,6250 South Padre Island Drive,Corpus Christi,TX,78412,(361) 994-6200
Sames Ford,http://www.samesford.net,4721 Ayers,Corpus Christi,TX,78415,(361) 851-7600
Don Davis Ford Lincoln,http://www.dondavisford.net,633 N. Highway 360,Arlington,TX,76011,(817) 588-5200
AutoNation Ford Arlington,http://www.autonationford-arlington.com,1400 W I-20,Arlington,TX,76017,(817) 467-3673
Grand Prairie Ford Inc.,http://www.grandprairieford.net,701 E. Palace Parkway,Grand Prairie,TX,75050,(866) 733-7379
Five Star Ford,http://www.fivestarfordnrh.com,6618 Ne Loop 820 At Rufe Snow,North Richland Hills,TX,76180,(817) 498-8838
Westway Ford,http://www.westwayford.net,801 W. Airport Fwy.,Irving,TX,75062,(866) 342-6043
AutoNation Ford South Fort Worth,http://www.autonationford-southfortworth.com,2401 E. I-20,Ft Worth,TX,76119,(817) 535-3673
Grapevine Ford Lincoln,http://www.grapevineford.net,801 E. State Hwy 114,Grapevine,TX,76051,(877) 418-2969
Rush Medium Duty Truck Center  Dallas,http://www.rushmediumdutyford.com,4000 Irving Blvd.,Dallas,TX,75247,(214) 631-2050
AutoNation Ford Burleson,http://www.autonationford-burleson.com,850 North Burleson Blvd.,Burleson,TX,76028,(817) 426-7300
Park Cities Ford Lincoln,http://www.parkcitiesford.net,3333 Inwood Road,Dallas,TX,75235,(888) 722-5075
AutoNation Ford-Mazda Fort Worth,http://www.autonationford-ftworth.com,5000 Bryant Irvin Rd,Ft Worth,TX,76132,(817) 370-5000
Sam Pack's Five Star Ford,http://www.5starfordonline.com,1635 I-H35,Carrollton,TX,75006,(972) 446-5027
Mac Haik Ford,http://www.machaikdesototx.com,515 N I-35E,De Soto,TX,75115,(972) 223-8050
David McDavid Ford Ft. Worth,http://www.davidmcdavidfordsales.com,300 West Loop 820 South,Fort Worth,TX,76108,(817) 935-7000
Sam Pack's Five Star Ford of Lewisville,http://www.fivestarfordlewisville.net,1144 N. Stemmons Freeway,Lewisville,TX,75067,972-338-9353
Waxahachie Ford,http://www.waxahachieford.com,2401 N. 1-35 E,Waxahachie,TX,75167,(972) 938-0444
