Dealer Name,website,street,city,state,zip,phone
Wilson Ford Lincoln,http://www.wilsonmotorford.com,328 North Main,Logan,UT,84321,(435) 752-7355
Ken Garff Ford,http://www.kengarfffordonline.com,597 East 1000 South,American Fork,UT,84003,(801) 763-6800
Larry H. Miller Ford Lincoln Provo,http://www.larryhmillerprovofl.com,1995 North University Parkway,Provo,UT,84604,(801) 356-4200
Larry H. Miller Ford Lincoln Draper,http://www.championfords.com,11442 S. Lone Peak,Draper,UT,84020,(800) 526-4568
Tim Dahle Ford,http://www.timdahleford.net,2534 North 200 East,Spanish Fork,UT,84660,(801) 798-3553
Labrum Ford  Inc.,http://www.labrumford.net,901 S. Main St.,Heber City,UT,84032,(435) 654-4910
Henry Day Ford  Inc.,http://www.henrydayford.net,4091 West 3500 South,West Valley City,UT,84120,(801) 973-7030
Larry H. Miller Super Ford Salt Lake City,http://www.larryhmillersuperford.com,1340 South 500 West,Salt Lake City,UT,84115,(801) 488-1700
Tischner Ford Sales Inc,http://www.tischnerford.com,118 W. Main,Santaquin,UT,84655,(801) 754-3281
Crandall Ford  Inc.,http://www.crandallford.net,2175 Rasmussen Rd,Park City,UT,84098,(435) 647-3673
Performance Ford Tooele,http://www.performancefordtooele.net,1141 North Main Street,Tooele,UT,84074,(435) 882-7000
Performance Ford Lincoln Bountiful,http://www.performancefordbountiful.net,1800 South Main,Bountiful,UT,84010,(801) 292-4433
Young Ford  Inc.,http://www.youngfordutah.com,570 East 525 North,Morgan,UT,84050,(801) 829-3447
Ed Kenley Ford,http://www.edkenleyford.net,1888 N. Main St.,Layton,UT,84041,(801) 776-4201
Westland Ford,http://www.ogdenford.com,3450 Wall Avenue,Ogden,UT,84401,(801) 394-8803
Young Ford of Brigham City,http://www.youngfordbrighamcity.com,323 South Main Street,Brigham City,UT,84302,(435) 723-3431
Heritage Motor Company of Tremonton,http://www.heritagemotorcoford.com,101 North 300 East,Tremonton,UT,84337,(800) 900-1191
Cedar City Ford Lincoln,http://www.cedarcityford.com,1010 North Main,Cedar City,UT,84721,(435) 586-9435
Sahara Motors Inc,http://www.saharamotorsinc.com,597 North Highway 6,Delta,UT,84624,(435) 864-4456
Freedom Ford  Inc.,http://www.freedom528.com,396 S Main/P.O. Box 820,Gunnison,UT,84634,(435) 528-7244
Moab Ford,http://www.moabford.net,500 South Main Street,Moab,UT,84532,(435) 259-6107
Price Ford,http://www.pricefordsales.com,354 South Highway 55,Price,UT,84501,(435) 637-1972
Jorgensen Ford  Inc.,http://www.jorgford.com,1000 South Cove View Rd.,Richfield,UT,84701,(435) 896-8436
L & L Motor Co Inc,http://www.llmotorcoinc.com,193 East 200 North,Roosevelt,UT,84066,(435) 722-2233
Showalter Motor Company,http://www.showalterford.net,100 E Main St & 333 West Main,Vernal,UT,84078,(435) 789-3818
Ken Garff St. George Ford Lincoln,http://www.stgeorgeford.net,145 W. Hilton Drive,Saint George,UT,84770,(888) 925-8899
