Dealer Name,website,street,city,state,zip,phone
Faith's Ford,http://www.faithsford.com,1147 Putney Road,Brattleboro,VT,05301,none listed
Carbone Ford of Bennington,http://www.carbonefordbennington.com,897 North Bennington Road,Bennington,VT,05201,(802) 442-2888
Gateway Motors Inc,http://www.gatewayford.com,190 Sykes Mountain Avenue,White River Junction,VT,05001,(802) 295-3124
Durand Automotive Group  Inc.,http://www.durandautomotive.com,6896 Route 5 South,Westminster,VT,05158,(800) 639-2037
John C Stewart & Son Inc,http://www.johncstewartandson.com,Main Street  Route 103,Cuttingsville,VT,05738,(802) 492-3312
Twin State Ford  Inc.,http://www.twinstateford.net,8 Memorial Drive,Saint Johnsbury,VT,05819,(802) 748-4444
Ted Green Ford Inc,http://www.tedgreenford.com,2621 Blackmer Blvd.,Stockbridge,VT,05772,(802) 234-5301
Formula Ford  Inc.,http://www.formulatruckland.com,265 River Street,Montpelier,VT,05602,(802) 223-5201
E.J. Barrette & Sons  Inc.,http://www.barretteford.com,189 North River,Swanton,VT,05488,(802) 868-3327
Burt Paquin Ford Lincoln,http://www.burtpaquin.com,2 Franklin Park West,Saint Albans,VT,05478,(802) 524-7343
Dick Wright Ford,http://www.dickwrightford.com,5204 Main Street Franklin,Franklin,VT,05457,(802) 285-2211
Formula Ford Lincoln,http://www.formulafordrutland.com,423 South Main Street,Rutland,VT,05701,(800) 906-6065
G. Stone Motors  Inc.,http://www.gstonemotor.com,Route 7,Middlebury,VT,05753,(802) 388-6718
Heritage Ford,http://www.heritagefordvt.com,1600 Shelburne Rd,South Burlington,VT,05403,(800) 833-6017
Hayes Ford  Inc.,http://www.hayesfordinc.com,439 East Main St,Newport,VT,05855,(802) 334-6587
Lamoille Valley Ford  Inc.,http://www.lvford.com,222 Vermont  Route 15 West,Hardwick,VT,05843,(800) 649-5967
