Dealer Name,website,street,city,state,zip,phone
Turnpike Ford of Huntington,http://www.turnpikefordwv.com,2480 Fifth Avenue,Huntington,WV,25703,(304) 529-2200
River City Ford,http://www.fords4u.com,4676 State Route 152 South,Lavalette,WV,25535,(800) 240-1943
Mike Ferrell Ford Lincoln  Inc.,http://www.mikeferrellford.com,1705 West 3rd St.,Williamson,WV,25661,(304) 235-4931
Thornhill Ford Lincoln,http://www.thornhillfordlincoln.com,U.S. Route 119 North,Chapmanville,WV,25508,(304) 855-8300
Timbrook Ford,http://www.timbrookford.net,Rt. 220  RR #3 Box 3280,Keyser,WV,26726,(304) 788-7900
Thomassen Ford  Inc.,http://www.thomassenford.net,100 South West Street,Charles Town,WV,25414,(304) 725-7031
Kent Parsons Ford Inc,http://www.parsonsfordofmartinsburg.com,1400 Shepherdstown Road,Martinsburg,WV,25404,(800) 726-3673
Scott Ford,http://www.scottford.net,Route 7 West,Kingwood,WV,26537,(304) 329-3673
Ohio Valley Ford  LLC,http://www.ohiovalleyford.com,Rte 250  Jefferson Avenue Extension,Moundsville,WV,26041,(304) 845-4244
Jim Robinson Ford-Lincoln  Inc.,http://www.jimrobinsonford.com,95 Robinson Drive,Triadelphia,WV,26059,(304) 232-2400
Country Roads Ford  Inc.,http://www.countryroadsford.net,1244 North State Route 2,New Martinsville,WV,26155,(304) 455-1303
Allietta Ford,http://www.alliettafordwellsburg.com,1625 Commerce St  Route 2,Wellsburg,WV,26070,(304) 737-0211
I-77 Ford,http://www.i77fordripley.com,3315 Charleston Rd,Ripley,WV,25271,800964FORDx3673
Midway Ford Incorporated,http://www.midwayfordsvt.com,201 Orchard Park Rd.,Hurricane,WV,25526,(800) 292-6511
Astorg Ford Lincoln of Parkersburg  Inc.,http://www.astorgfordinc.com,2028  7th Street,Parkersburg,WV,26101,(304) 485-8585
Herrington Ford,http://www.herringtonford.net,308 3rd Street,Saint Marys,WV,26170,(304) 684-9625
Wable Ford  Inc.,http://www.wableford.com,820 Chelsea St,Sistersville,WV,26175,(304) 652-3771
Freedom Ford Lincoln of Morgantown,http://www.freedomfordofmorgantown.net,501 Mary Jane Wood Circle,Morgantown,WV,25601,(304) 296-4477
Wilson Ford Inc,http://www.wilsonfordlinc.com,2231 White Hall Boulevard,Whitehall,WV,26554,(304) 363-0500
Corwin Ford Sales Inc.,http://www.corwinfordsales.com,Rt 250 South,Mannington,WV,26582,(304) 986-1111
Toothman Ford Sales Inc,http://www.toothmanford.net,Route 50 West,Grafton,WV,26354,(304) 265-3000
Greenbrier Ford  Inc.,http://www.greenbrierford.com,1446  Jefferson Street North,Lewisburg,WV,24901,(304) 645-2244
Ramey Ford Princeton,http://www.rameyfordprinceton.net,498 Courthouse Rd.,Princeton,WV,24740,(304) 425-2128
Weimer Ford  Inc.,http://www.weimerford.net,1191 US Route 220 North,Moorefield,WV,26836,(304) 530-6566
Mid-State Ford  LLC,http://www.midstatefordwv.com,1000 Arbuckle Road,Summersville,WV,26651,(304) 872-5555
Mountaineer Automotive,http://www.mountaineerautomotiveford.com,615 North Eisenhower Dr.,Beckley,WV,25801,304-461-0505
Turnpike Ford Inc,http://www.turnpikeford.net,Route 61  MacCorkle Ave.,Marmet,WV,25315,(304) 925-0431
Jenkins Ford  Inc.,http://www.jenkinsfordbuckhannon.com,One Billingsley Drive,Buckhannon,WV,26201,(800) 400-7770
Weston Ford  Inc.,http://www.westonwvford.com,Us 33 East,Weston,WV,26452,(304) 269-6564
Chenoweth Ford Inc,http://www.chenowethford.net,Route 50 East,Clarksburg,WV,26301,(800) 344-1108
Elkins Fordland,http://www.elkinsfordland.com,696 Beverly Pike,Elkins,WV,26241,(800) 296-2486
Stephens Auto Center,http://www.stephensautocenter.com,Rt. 119  Lory Road,Danville,WV,25053,(800) 925-2411
Bert Wolfe Ford Inc,http://www.bertwolfeford.com,1900 Patrick Street Plaza,Charleston,WV,25387,(304) 344-1601
Moses Ford Inc,http://www.mosesford.com,2001 Mccorkle Av SW,St Albans,WV,25177,(304) 722-4900
Michael Motor Co Inc,http://www.michaelmotors.com,2764 State Street,Gassaway,WV,26624,(304) 364-5132
Jack Garrett Ford  Inc.,http://www.jackgarrettford.com,270 Ripley Road,Spencer,WV,25276,(800) 837-3673
