Dealer Name,website,street,city,state,zip,phone
Gordie Boucher Ford of Kenosha  Inc.,http://www.kenoshaford.com,8301 75th St.,Kenosha,WI,53142,(800) 705-8169
Martin Ford Sales  Inc.,http://www.martinfordsales.com,19215 Spring St.,Union Grove,WI,53182,(262) 878-1241
Miller Ford,http://www.millermotors.net,1196 Milwaukee ave,Burlington,WI,53105,(888) 502-1919
Ford of Lake Geneva  LLC,http://www.fordlakegeneva.com,W2542 Highway 120,Lake Geneva,WI,53147,(262) 248-6221
Porcaro Ford,http://www.porcaroford.net,6001 Washington Avenue,Racine,WI,53406,(262) 886-5200
Elkhorn Motors Inc,http://www.elkhornmotors.net,910 N. Wisconsin St. (hy 67 North),Elkhorn,WI,53121,(262) 723-2131
John Amato Ford,http://www.amatoford.com,1015 South Main Street,Mukwonago,WI,53149,(800) 606-3085
Kunes Country Ford Lincoln  Inc.,http://www.kunescountryford.com,1234 E. Geneva Street,Delavan,WI,53115,(262) 728-5544
Tom Peck Ford,http://www.tompeck-ford.com,807 Church Street  Po Box 670,Clinton,WI,53525,(608) 676-2273
Alphorn Ford Lincoln,http://www.alphornford.net,N2985 18th Avenue,Monroe,WI,53566,(608) 325-9191
Evansville Ford  LLC.,http://www.evansvillefordmotors.com,428 Union Street,Evansville,WI,53536,(608) 882-4700
Monticello Ford Inc,http://www.monticellofordinc.com,209 State Highway 69,Monticello,WI,53570,(608) 938-4345
Gordie Boucher Ford Lincoln of Janesville,http://www.gordieboucherford.com,2727 Highway 14,Janesville,WI,53545,(800) 749-1263
Ketterhagen Motor Sales Inc,http://www.ketterhagenford.com,117 North First Street,Whitewater,WI,53190,(262) 473-4330
Pioneer Ford Sales  Ltd.,http://www.pioneerfordplatteville.com,1035 East Business Highway 151,Platteville,WI,53818,(608) 348-2409
Les Mack Ford,http://www.lesmackford.net,131 Highway 61 North,Lancaster,WI,53813,(608) 723-2100
Virtue's Auto Tech Inc,http://www.virtuemotors.com,12075 State Rd 23 South,Darlington,WI,53530,(608) 776-4431
Blackhawk Ford,http://www.blackhawkfordprairieduchien.com,1621 South Marquette Road,Prairie Du Chien,WI,53821,(608) 326-8400
Florence Motor Sales Inc,http://www.florencemotorsalesford.com,724 Central Avenue,Florence,WI,54121,(715) 528-3274
