Dealer Name,website,street,city,state,zip,phone
Lithia Ford Lincoln of Boise,http://www.lithiafordboise.com,8853 West Fairview Ave.,Boise,ID,83704,(877) 332-6349
Kendall Ford,http://www.kendallford.net,250 East Overland,Meridian,ID,83642,855-609-4014
Corwin Ford,http://www.corwinfordnampa.net,5707 East Gate Boulevard,Nampa,ID,83687,(208) 466-4615
Bob Bate Ford,http://www.bateford.com,126 N Main/P.O. Box 630,Cascade,ID,83611,(208) 382-4213
Parker Ford Lincoln,http://www.parkerfordcda.net,315 Clayton Avenue,Coeur D Alene,ID,83815,(208) 664-9211
Silver Creek Ford,http://www.silvercreekfordhailey.com,920 South Main,Hailey,ID,83333,(208) 788-2216
Joe Hall Ford Lincoln,http://www.joehallford.net,1617 21st Street,Lewiston,ID,83501,(208) 746-2391
Gentry Ford Sales  Inc.,http://www.gentryfordlincoln.com,1802 Southwest 4th Avenue,Ontario,OR,97914,(541) 889-9694
Roberson's Albany Ford,http://www.robersonalbanyford.net,1920 Pacific Blvd. SW,Albany,OR,97321,(541) 926-5555
Wilson Motors,http://www.wilsonmotorsonline.net,1105 Nw 5th Street,Corvallis,OR,97330,(541) 752-4201
Hillyer's Stayton Ford  Inc.,http://www.hillyerstaytonford.com,11361 Mill Creek Road SE,Aumsville,OR,97325,(503) 769-4747
Skyline Ford,http://www.skylineford.net,2510 Commercial St Se,Salem,OR,97302,(503) 581-2411
Mid Valley Ford,http://www.midvalleyfordoforegon.com,201 N. E. Polk Station Road,Dallas,OR,97338,(503) 623-8361
Butler Ford,http://www.butlerford.net,1977 Highway 99 North,Ashland,OR,97520,(800) 627-7720
Crater Lake Ford LLC,http://www.craterlakemotors.com,2611 Biddle Road,Medford,OR,97504,(541) 773-3673
Astoria Ford  Inc.,http://www.astoriaford.net,1809 SE Ensign Lane,Warrenton,OR,97146,(503) 325-6411
Hillyer's Mid - City Ford,http://www.hillyersford.net,3000 Hillyer Lane,Woodburn,OR,97071,(503) 981-4747
Canby Ford Inc,http://www.canbyfordinc.com,24315 South Highway 99E,Canby,OR,97013,(503) 266-2097
Damerow Ford,http://www.damerowford.com,12325 SW Canyon Rd.,Beaverton,OR,97005,(800) 732-8633
Landmark Ford Lincoln,http://www.landmarkmail.com,12000 S W 66th Ave,Tigard,OR,97223,(888) 365-3925
Dick's MacKenzie Ford,http://www.mackenziemotors.com,4151 S. E. Tualatin Valley Hwy,Hillsboro,OR,97123,(800) 783-0863
Northside Ford Truck Sales  Inc.,http://www.northsideford.net,6221 N E Columbia Blvd.,Portland,OR,97218,(503) 282-7777
Courtesy Ford Lincoln,http://www.courtesyfordportland.com,1313 NE 122nd,Portland,OR,97230,(888) 883-6737
Doherty Ford,http://www.doherty-ford.com,4223 Pacific Ave,Forest Grove,OR,97116,(503) 357-3114
Newberg Ford,http://www.fordofnewberg.com,3900 Portland Road,Newberg,OR,97132,(503) 538-2171
Gresham Ford,http://www.greshamfordonline.com,1999 East Powell Boulevard,Gresham,OR,97080,(503) 665-0101
St. Helens Ford,http://www.sthelensfordoregon.com,57895 South Columbia River Highway,Warren,OR,97053,(503) 397-5454
Suburban Ford Inc,http://www.suburbanfordinc.com,37000 Highway 26,Sandy,OR,97055,(503) 668-5511
Chuck Colvin Auto Center,http://www.Colvinford.com,1925 North Highway 99w,Mcminnville,OR,97128,(800) 223-5099
Robberson Ford Sales  Inc.,http://www.robbersonford.net,2100 N.E. Third Street,Bend,OR,97701,(541) 382-4521
Wright Ford Inc,http://www.wrightfordinc.net,1835 So. Highway 97,Redmond,OR,97756,(541) 548-2138
Mock Ford Sales,http://www.mockfordsales.com,913 S E Sixth St.,Grants Pass,OR,97526,(541) 476-6656
Burns Ford  Inc.,http://www.burnsfordinc.com,188 N Broadway,Burns,OR,97720,(541) 573-6014
Tower Ford,http://www.towerford.com,505 South Broadway,Coos Bay,OR,97420,(541) 267-2118
